ZMID,DEH,ZMMC,DW,基价,RGF,CLF,JXF,QTF
1367,1-1367,氨油分离器 设备直径325mm以内,台,273.36,130.18,135.11,8.07,0
1368,1-1368,氨油分离器 设备直径500mm以内,台,361.71,212.59,141.05,8.07,0
1369,1-1369,氨油分离器 设备直径700mm以内,台,571.31,337.44,152.52,81.35,0
1370,1-1370,氨油分离器 设备直径800mm以内,台,751.39,453.7,179.69,118.0,0
1371,1-1371,氨油分离器 设备直径1000mm以内,台,847.78,547.54,182.24,118.0,0
1372,1-1372,氨油分离器 设备直径1200mm以内,台,943.0,641.81,183.19,118.0,0
1373,1-1373,氨液分离器和空气分离器 氨液分离器直径500mm以内,台,343.65,205.2,134.41,4.04,0
1374,1-1374,氨液分离器和空气分离器 氨液分离器直径600mm以内,台,399.42,260.16,135.22,4.04,0
1375,1-1375,氨液分离器和空气分离器 氨液分离器直径800mm以内,台,547.58,332.26,137.99,77.33,0
1376,1-1376,氨液分离器和空气分离器 氨液分离器直径1000mm以内,台,640.68,419.52,139.81,81.35,0
1377,1-1377,氨液分离器和空气分离器 氨液分离器直径1200mm以内,台,717.68,489.65,146.68,81.35,0
1378,1-1378,氨液分离器和空气分离器 氨液分离器直径1400mm以内,台,792.31,525.89,148.42,118.0,0
1379,1-1379,氨液分离器和空气分离器 空气分离器冷却面积0.45m2以内,台,204.84,78.86,121.94,4.04,0
1380,1-1380,氨液分离器和空气分离器 空气分离器冷却面积1.82m2以内,台,238.08,110.74,123.3,4.04,0
1381,1-1381,氨气过滤器和氨液过滤器 氨气过滤器 设备直径100mm以内,台,101.61,73.73,27.88,0.0,0
1382,1-1382,氨气过滤器和氨液过滤器 氨气过滤器 设备直径200mm以内,台,164.48,123.5,40.98,0.0,0
1383,1-1383,氨气过滤器和氨液过滤器 氨气过滤器 设备直径300mm以内,台,267.61,204.0,63.61,0.0,0
1384,1-1384,氨气过滤器和氨液过滤器 氨液过滤器 设备直径25mm以内,台,55.07,41.04,14.03,0.0,0
1385,1-1385,氨气过滤器和氨液过滤器 氨液过滤器 设备直径50mm以内,台,115.6,96.82,18.78,0.0,0
1386,1-1386,氨气过滤器和氨液过滤器 氨液过滤器 设备直径100mm以内,台,156.02,109.58,46.44,0.0,0
1387,1-1387,中间冷却器 安装设备冷却面积2m2以内,台,501.35,241.06,187.04,73.25,0
1388,1-1388,中间冷却器 安装设备冷却面积3.5m2以内,台,573.95,308.35,192.35,73.25,0
1389,1-1389,中间冷却器 安装设备冷却面积5m2以内,台,664.73,390.43,197.23,77.07,0
1390,1-1390,中间冷却器 安装设备冷却面积8m2以内,台,861.02,476.11,273.12,111.79,0
1391,1-1391,中间冷却器 安装设备冷却面积10m2以内,台,1136.67,603.6,276.63,256.44,0
1392,1-1392,中间冷却器 安装设备冷却面积12m2以内,台,1520.87,759.36,308.85,452.66,0
1393,1-1393,玻璃钢冷却塔 设备处理水量30m3/h以内,台,919.39,584.06,270.21,65.12,0
1394,1-1394,玻璃钢冷却塔 设备处理水量50m3/h以内,台,1020.29,633.46,321.71,65.12,0
1395,1-1395,玻璃钢冷却塔 设备处理水量70m3/h以内,台,1243.55,713.95,403.41,126.19,0
1396,1-1396,玻璃钢冷却塔 设备处理水量100m3/h以内,台,1485.83,780.48,448.81,256.54,0
1397,1-1397,玻璃钢冷却塔 设备处理水量150m3/h以内,台,1807.73,909.17,498.35,400.21,0
1398,1-1398,玻璃钢冷却塔 设备处理水量250m3/h以内,台,2635.61,1307.95,742.42,585.24,0
1399,1-1399,玻璃钢冷却塔 设备处理水量300m3/h以内,台,3626.34,1544.59,1070.73,1011.02,0
1400,1-1400,玻璃钢冷却塔 设备处理水量500m3/h以内,台,4038.78,1660.94,1342.97,1034.87,0
1401,1-1401,玻璃钢冷却塔 设备处理水量700m3/h以内,台,4557.94,2029.06,1468.08,1060.8,0
1402,1-1402,集油器、油视镜、紧急泄氨器 集油器 设备直径219m3以内,台,170.96,64.56,102.36,4.04,0
1403,1-1403,集油器、油视镜、紧急泄氨器 集油器 设备直径325m3以内 台,台,197.96,91.25,102.67,4.04,0
1404,1-1404,集油器、油视镜、紧急泄氨器 集油器 设备直径500m3以内 台,台,242.87,135.84,102.99,4.04,0
1405,1-1405,集油器、油视镜、紧急泄氨器 油视镜 设备直径50m3以内,支,83.77,63.74,20.03,0.0,0
1406,1-1406,集油器、油视镜、紧急泄氨器 油视镜 设备直径100m3以内 支,支,113.29,88.85,24.44,0.0,0
1407,1-1407,集油器、油视镜、紧急泄氨器 紧急泄氨器 设备直径108m3以内,支,96.25,70.9,25.35,0.0,0
1408,1-1408,储气罐 设备容量2m3以内,台,1007.64,602.4,196.59,208.65,0
1409,1-1409,储气罐 设备容量5m3以内,台,1463.38,866.54,291.06,305.78,0
1410,1-1410,储气罐 设备容量8m3以内,台,2068.39,1023.5,333.15,711.74,0
1411,1-1411,储气罐 设备容量11m3以内,台,2479.44,1329.84,412.24,737.36,0
1412,1-1412,储气罐 设备容量15m3以内,台,2979.61,1707.55,451.49,820.57,0
1413,1-1413,乙炔发生器 设备规格5m3/h以内,台,1118.87,611.57,148.98,358.32,0
1414,1-1414,乙炔发生器 设备规格10m3/h以内,台,1464.97,775.3,213.81,475.86,0
1415,1-1415,乙炔发生器 设备规格20m3/h以内,台,2069.94,1050.58,275.64,743.72,0
1416,1-1416,乙炔发生器 设备规格40m3/h以内,台,2523.3,1231.87,386.95,904.48,0
1417,1-1417,乙炔发生器 设备规格80m3/h以内,台,3268.26,1709.95,443.08,1115.23,0
1418,1-1418,乙炔发生器附属设备 设备重量0.3t以内,台,474.93,245.23,89.33,140.37,0
1419,1-1419,乙炔发生器附属设备 设备重量0.5t以内,台,816.29,366.38,141.74,308.17,0
1420,1-1420,乙炔发生器附属设备 设备重量0.8t以内,台,1112.99,534.91,196.91,381.17,0
1421,1-1421,乙炔发生器附属设备 设备重量1t以内,台,1498.95,724.22,263.08,511.65,0
1422,1-1422,乙炔发生器附属设备 设备重量1.5t以内,台,1932.28,980.45,296.41,655.42,0
1423,1-1423,水压机蓄势罐 设备重量10t以内,台,4519.3,2396.4,1182.25,940.65,0
1424,1-1424,水压机蓄势罐 设备重量15t以内,台,5944.11,2981.62,1852.28,1110.21,0
1425,1-1425,水压机蓄势罐 设备重量20t以内,台,7681.45,4307.09,2041.59,1332.77,0
1426,1-1426,水压机蓄势罐 设备重量30t以内,台,12639.98,5861.28,3646.29,3132.41,0
1427,1-1427,水压机蓄势罐 设备重量40t以内,台,15890.35,7193.9,3972.56,4723.89,0
1428,1-1428,水压机蓄势罐 设备重量55t以内,台,19374.79,9924.96,4328.73,5121.1,0
1429,1-1429,小型空气分离塔 型号规格 FL-50/200,台,6258.84,3842.98,1760.53,655.33,0
1430,1-1430,小型空气分离塔 型号规格 140/660-1,台,8468.06,5005.78,2446.66,1015.62,0
1431,1-1431,小型空气分离塔 型号规格 FL-300/300,台,12837.7,7358.3,3914.36,1565.04,0
1432,1-1432,小型制氧机械附属设备 洗涤塔 XT-90,台,2147.74,1180.85,601.92,364.97,0
1433,1-1433,小型制氧机械附属设备 干燥器(170×2) 碱水拌和器(1.6),组,1602.98,800.78,657.25,144.95,0
1434,1-1434,小型制氧机械附属设备 纯化器 HXK-300/59 HX-1800/15,套,3486.79,1662.53,1131.69,692.57,0
1435,1-1435,小型制氧机械附属设备 加热炉(器) 1.55型、JR-13型、JR-100型,套,817.46,233.47,219.4,364.59,0
1436,1-1436,小型制氧机械附属设备 储氧器或充氧台 501-1型、GC-24型,台,681.62,372.53,233.28,75.81,0
1437,1-1437,零星小型金属结构件制作安装 制作 金属结构件单体重量50kg以内,100kg,950.28,478.08,74.43,397.77,0
1438,1-1438,零星小型金属结构件制作安装 制作 金属结构件单体重量大于50kg,100kg,875.39,406.37,71.25,397.77,0
1439,1-1439,零星小型金属结构件制作安装 安装 金属结构件单体重量50kg以内,100kg,385.83,319.92,25.58,40.33,0
1440,1-1440,零星小型金属结构件制作安装 安装 金属结构件单体重量大于50kg,100kg,336.52,272.11,24.08,40.33,0
1441,1-1441,制冷容器单体试密与排污 设备容量1m3以内,次/台,267.69,158.64,11.49,97.56,0
1442,1-1442,制冷容器单体试密与排污 设备容量3m3以内,次/台,418.54,210.58,16.66,191.3,0
1443,1-1443,制冷容器单体试密与排污 设备容量5m3以内,次/台,575.26,264.91,25.31,285.04,0
1444,1-1444,地脚螺栓孔灌浆 一台设备的灌浆体积0.03m3以内,m3,639.94,418.32,221.62,0.0,0
1445,1-1445,地脚螺栓孔灌浆 一台设备的灌浆体积0.05m3以内,m3,567.49,349.01,218.48,0.0,0
1446,1-1446,地脚螺栓孔灌浆 一台设备的灌浆体积0.10m3以内,m3,480.84,266.93,213.91,0.0,0
1447,1-1447,地脚螺栓孔灌浆 一台设备的灌浆体积0.30m3以内,m3,414.76,209.57,205.19,0.0,0
1448,1-1448,地脚螺栓孔灌浆 一台设备的灌浆体积＞0.30m3以内,m3,341.92,139.44,202.48,0.0,0
1449,1-1449,设备底座与基础间灌浆 一台设备的灌浆体积0.03m3以内,m3,904.63,572.11,332.52,0.0,0
1450,1-1450,设备底座与基础间灌浆 一台设备的灌浆体积0.05m3以内,m3,794.38,478.9,315.48,0.0,0
1451,1-1451,设备底座与基础间灌浆 一台设备的灌浆体积0.10m3以内,m3,681.11,384.05,297.06,0.0,0
1452,1-1452,设备底座与基础间灌浆 一台设备的灌浆体积0.30m3以内,m3,569.69,295.2,274.49,0.0,0
1453,1-1453,设备底座与基础间灌浆 一台设备的灌浆体积＞0.30m3以内,m3,476.55,204.77,271.78,0.0,0
1454,1-1454,减震台座安装 钢架焊接减震台50kg以内,台,12.56,8.72,3.27,0.57,0
1455,1-1455,减震台座安装 钢架焊接减震台100kg以内,台,21.3,17.09,3.44,0.77,0
1456,1-1456,减震台座安装 钢架焊接减震台200kg以内,台,39.38,34.52,3.84,1.02,0
1457,1-1457,减震台座安装 钢架焊接减震台300kg以内,台,56.91,51.56,4.05,1.3,0
1458,1-1458,减震台座安装 钢架焊接减震台400kg以内,台,74.56,68.99,4.23,1.34,0
1459,1-1459,减震台座安装 钢架焊接减震台500kg以内,台,91.83,86.07,4.38,1.38,0
1460,1-1460,泵基础减震器安装,个,8.14,6.25,1.89,0.0,0
1461,1-1461,隔震垫安装 隔震垫,块,2.72,2.72,0.0,0.0,0
1462,2-1,油浸电力变压器安装 10KV250KVA以下,台,893.0,398.74,176.03,318.23,0
1463,2-2,油浸电力变压器安装 10KV500KVA以下,台,1063.78,511.49,208.64,343.65,0
1464,2-3,油浸电力变压器安装 10KV1000KVA以下,台,1533.02,875.66,268.03,389.33,0
1465,2-4,油浸电力变压器安装 10KV2000KVA以下,台,1927.53,1134.43,324.18,468.92,0
1466,2-5,油浸电力变压器安装 10KV4000KVA以下,台,3161.2,2043.79,471.79,645.62,0
1467,2-6,油浸电力变压器安装 10KV8000KVA以下,台,5530.1,2997.22,1299.22,1233.66,0
1468,2-7,油浸电力变压器安装 10KV10000KVA以下,台,6375.9,3596.83,1414.87,1364.2,0
1469,2-8,干式变压器安装 容量100KVA以下,台,510.05,324.86,110.06,75.13,0
1470,2-9,干式变压器安装 容量250KVA以下,台,550.41,364.18,111.1,75.13,0
1471,2-10,干式变压器安装 容量500KVA以下,台,685.64,482.54,115.26,87.84,0
1472,2-11,干式变压器安装 容量800KVA以下,台,819.67,572.4,140.04,107.23,0
1473,2-12,干式变压器安装 容量1000KVA以下,台,1013.04,632.02,150.64,230.38,0
1474,2-13,干式变压器安装 容量2000KVA以下,台,1178.87,754.27,161.89,262.71,0
1475,2-14,干式变压器安装 容量2500KVA以下,台,1369.1,905.04,167.49,296.57,0
1476,2-15,消弧线圈安装 10KV/容量100KVA以下,台,583.73,328.32,106.68,148.73,0
1477,2-16,消弧线圈安装 10KV/容量200KVA以下,台,676.03,393.12,119.9,163.01,0
1478,2-17,消弧线圈安装 10KV/容量300KVA以下,台,780.49,470.88,146.6,163.01,0
1479,2-18,消弧线圈安装 10KV/容量400KVA以下,台,890.77,511.06,187.67,192.04,0
1480,2-19,消弧线圈安装 10KV/容量600KVA以下,台,987.64,583.63,208.44,195.57,0
1481,2-20,消弧线圈安装 10KV/容量800KVA以下,台,1218.21,692.5,239.83,285.88,0
1482,2-21,消弧线圈安装 10KV/容量1600KVA以下,台,1646.54,1022.11,268.45,355.98,0
1483,2-22,消弧线圈安装 10KV/容量2000KVA以下,台,1850.38,1182.38,290.6,377.4,0
1484,2-23,电力变压器干燥 10KV/容量250KVA以下,台,761.6,436.32,289.58,35.7,0
1485,2-24,电力变压器干燥 10KV/容量500KVA以下,台,968.31,589.68,328.65,49.98,0
1486,2-25,电力变压器干燥 10KV/容量1000KVA以下,台,1618.67,848.45,716.63,53.59,0
1487,2-26,电力变压器干燥 10KV/容量2000KVA以下,台,2016.09,1078.27,866.42,71.4,0
1488,2-27,电力变压器干燥 10KV/容量4000KVA以下,台,3689.23,1926.72,1136.03,626.48,0
1489,2-28,电力变压器干燥 10KV/容量8000KVA以下,台,4486.55,2356.13,1349.74,780.68,0
1490,2-29,电力变压器干燥 10KV/容量10000KVA以下,台,5268.58,2825.71,1507.98,934.89,0
1491,2-30,变压器油过滤 变压器油过滤,吨,639.27,146.02,252.9,240.35,0
1492,2-31,油断路器安装 油断路器电流1000A以下,台,408.34,285.55,77.31,45.48,0
1493,2-32,油断路器安装 油断路器电流3000A以下,台,1018.67,593.14,352.31,73.22,0
1494,2-33,油断路器安装 油断路器电流8000A以下,台,2485.81,1382.4,985.38,118.03,0
1495,2-34,油断路器安装 油断路器电流12000A以下,台,2890.39,1641.6,1110.12,138.67,0
1496,2-35,真空断路器、S F 6断路器安装 真空断路器2000A以下,台,296.96,242.35,50.75,3.86,0
1497,2-36,真空断路器、S F 6断路器安装 真空断路器4000A以下,台,453.75,313.63,70.76,69.36,0
1498,2-37,真空断路器、S F 6断路器安装 SF6断路器2000A以下,台,389.56,280.37,105.33,3.86,0
1499,2-38,真空断路器、S F 6断路器安装 SF6断路器4000A以下,台,586.16,361.15,155.65,69.36,0
1500,2-39,大型空气断路器、真空接触器安装 空气断路器电流12000A以下,台,1778.87,1316.3,316.18,146.39,0
1501,2-40,大型空气断路器、真空接触器安装 空气断路器电流18000A以下,台,2189.63,1610.93,420.72,157.98,0
1502,2-41,大型空气断路器、真空接触器安装 空气断路器电流22000A以下,台,2657.57,1934.06,553.95,169.56,0
1503,2-42,大型空气断路器、真空接触器安装 空气断路器电流25000A以下,台,3124.08,2261.95,684.85,177.28,0
1504,2-43,大型空气断路器、真空接触器安装 真空接触器1140/630V/A以下,台,184.5,142.56,38.08,3.86,0
1505,2-44,大型空气断路器、真空接触器安装 真空接触器6300/630V/A以下,台,214.74,172.8,38.08,3.86,0
1506,2-45,隔离开关、负荷开关安装 户内隔离开关、负荷开关电流600A以下,台,284.51,119.23,155.61,9.67,0
1507,2-46,隔离开关、负荷开关安装 户内隔离开关、负荷开关电流2000A以下,台,384.17,194.4,180.1,9.67,0
1508,2-47,隔离开关、负荷开关安装 户内隔离开关、负荷开关电流4000A以下,台,629.67,356.4,250.1,23.17,0
1509,2-48,隔离开关、负荷开关安装 户内隔离开关、负荷开关电流8000A以下,台,855.33,496.37,289.95,69.01,0
1510,2-49,隔离开关、负荷开关安装 户内隔离开关、负荷开关电流15000A以下,台,1493.09,668.3,722.64,102.15,0
1511,2-50,隔离开关、负荷开关安装 户内隔离开关、负荷开关 二段传动另加,台,287.06,71.28,194.49,21.29,0
1512,2-51,隔离开关、负荷开关安装 户内隔离开关、负荷开关 带一接地开关另加,台,133.6,60.05,73.55,0.0,0
1513,2-52,隔离开关、负荷开关安装 户外隔离开关 1000A以下,台,500.35,264.82,222.0,13.53,0
1514,2-53,互感器安装 电压互感器,台,78.61,45.36,29.39,3.86,0
1515,2-54,互感器安装 电流互感器电流2000A以下,台,67.34,35.86,27.62,3.86,0
1516,2-55,互感器安装 电流互感器电流8000A以下,台,100.61,47.52,47.28,5.81,0
1517,2-56,互感器安装 电流互感器电流15000A以下,台,145.32,69.12,66.53,9.67,0
1518,2-57,互感器安装 电流互感器(电流A以下) 户外式,台,117.4,51.84,61.7,3.86,0
1519,2-58,熔断器、避雷器安装 熔断器,组,91.39,56.16,29.42,5.81,0
1520,2-59,熔断器、避雷器安装 避雷器 1KV以下,组,101.61,23.76,73.99,3.86,0
1521,2-60,熔断器、避雷器安装 避雷器 10KV以下,组,144.85,63.5,77.49,3.86,0
1522,2-61,电抗器安装 干式电抗器1.5t/组以下,组,706.77,502.42,118.41,85.94,0
1523,2-62,电抗器安装 干式电抗器4.5t/组以下,组,907.37,653.62,123.0,130.75,0
1524,2-63,电抗器安装 干式电抗器7.5t/组以下,组,1106.97,781.06,136.91,189.0,0
1525,2-64,电抗器安装 干式电抗器10t/组以下,组,1350.26,993.17,168.09,189.0,0
1526,2-65,电抗器安装 油浸电抗器100KVA/台以下,台,604.76,318.82,151.13,134.81,0
1527,2-66,电抗器安装 油浸电抗器500KVA/台以下,台,988.87,564.62,289.44,134.81,0
1528,2-67,电抗器安装 油浸电抗器1000KVA/台以下,台,1460.43,716.26,422.31,321.86,0
1529,2-68,电抗器安装 油浸电抗器3150KVA/台以下,台,2153.79,1029.89,562.59,561.31,0
1530,2-69,电抗器干燥 干式电抗器1.5t/组以下,组,389.48,216.0,173.48,0.0,0
1531,2-70,电抗器干燥 干式电抗器4.5t/组以下,组,606.35,345.6,260.75,0.0,0
1532,2-71,电抗器干燥 干式电抗器7.5t/组以下,组,769.7,432.0,337.7,0.0,0
1533,2-72,电抗器干燥 干式电抗器10t/组以下,组,1136.67,760.32,376.35,0.0,0
1534,2-73,电抗器干燥 油浸电抗器100KVA/台以下,台,467.45,255.31,176.44,35.7,0
1535,2-74,电抗器干燥 油浸电抗器500KVA/台以下,台,699.86,432.43,217.45,49.98,0
1536,2-75,电抗器干燥 油浸电抗器1000KVA/台以下,台,979.4,584.5,337.78,57.12,0
1537,2-76,电抗器干燥 油浸电抗器3150KVA/台以下,台,1390.3,817.34,501.56,71.4,0
1538,2-77,电力电容器安装 移相及串联电容器重量:30kg以下,个,35.35,15.12,20.23,0.0,0
1539,2-78,电力电容器安装 移相及串联电容器重量:60kg以下,个,42.18,21.6,20.58,0.0,0
1540,2-79,电力电容器安装 移相及串联电容器重量:120kg以下,个,49.94,29.38,20.56,0.0,0
1541,2-80,电力电容器安装 移相及串联电容器重量:200kg以下,个,55.47,34.56,20.91,0.0,0
1542,2-81,电力电容器安装 集合式并联电容器重量:2t以下,个,291.33,138.24,22.14,130.95,0
1543,2-82,电力电容器安装 集合式并联电容器重量:5t以下,个,371.35,180.58,25.76,165.01,0
1544,2-83,电力电容器安装 集合式并联电容器重量:10t以下,个,508.29,218.59,32.07,257.63,0
1545,2-84,并联补偿电容器组架及交流滤波装置安装 并联补偿电容器组架(TBB系列) 单列两层,台,329.04,247.1,49.26,32.68,0
1546,2-85,并联补偿电容器组架及交流滤波装置安装 并联补偿电容器组架(TBB系列) 单列三层,台,339.63,256.61,50.34,32.68,0
1547,2-86,并联补偿电容器组架及交流滤波装置安装 并联补偿电容器组架(TBB系列) 双列两层,台,419.38,327.89,56.9,34.59,0
1548,2-87,并联补偿电容器组架及交流滤波装置安装 并联补偿电容器组架(TBB系列) 双列三层,台,443.77,346.9,60.32,36.55,0
1549,2-88,并联补偿电容器组架及交流滤波装置安装 并联补偿电容器组架(TBB系列) 小型组合,台,340.05,266.11,47.07,26.87,0
1550,2-89,并联补偿电容器组架及交流滤波装置安装 交流滤波装置组架(TJL系列) 电抗组架,台,222.96,142.56,36.68,43.72,0
1551,2-90,并联补偿电容器组架及交流滤波装置安装 交流滤波装置组架(TJL系列) 放电组架,台,163.54,104.54,35.99,23.01,0
1552,2-91,并联补偿电容器组架及交流滤波装置安装 交流滤波装置组架(TJL系列) 联线组架,台,103.98,43.2,37.77,23.01,0
1553,2-92,高压成套配电柜安装 单母线柜 断路器柜,台,474.95,367.2,33.24,74.51,0
1554,2-93,高压成套配电柜安装 单母线柜 互感器柜,台,378.94,292.9,26.94,59.1,0
1555,2-94,高压成套配电柜安装 单母线柜 电容器柜其他柜,台,261.05,175.82,26.13,59.1,0
1556,2-95,高压成套配电柜安装 单母线柜 母线桥,组,237.8,133.92,29.37,74.51,0
1557,2-96,高压成套配电柜安装 双母线柜 断路器柜,台,573.86,445.39,36.37,92.1,0
1558,2-97,高压成套配电柜安装 双母线柜 互感器柜,台,482.34,360.72,29.52,92.1,0
1559,2-98,高压成套配电柜安装 双母线柜 电容器柜、其他柜,台,324.17,203.9,28.17,92.1,0
1560,2-99,组合型成套箱式变电站安装 不带高压开关柜变压器容量100KVA以下,台,1148.38,418.18,404.75,325.45,0
1561,2-100,组合型成套箱式变电站安装 不带高压开关柜变压器容量315KVA以下,台,1344.96,496.8,522.71,325.45,0
1562,2-101,组合型成套箱式变电站安装 不带高压开关柜变压器容量630KVA以下,台,1574.66,598.75,650.46,325.45,0
1563,2-102,组合型成套箱式变电站安装 带高压开关柜变压器容量100KVA以下,台,1585.6,539.57,718.63,327.4,0
1564,2-103,组合型成套箱式变电站安装 带高压开关柜变压器容量315KVA以下,台,1882.88,708.05,847.43,327.4,0
1565,2-104,组合型成套箱式变电站安装 带高压开关柜变压器容量630KVA以下,台,2139.45,836.35,975.7,327.4,0
1566,2-105,组合型成套箱式变电站安装 带高压开关柜变压器容量1000KVA以下,台,2467.08,1031.18,1108.5,327.4,0
1567,2-106,组合型成套箱式变电站安装 带高压开关柜变压器容量1600KVA以下,台,2956.17,1397.09,1231.68,327.4,0
1568,2-107,绝缘子安装(1 0 K V以下) 悬式绝缘子串,10串,67.25,63.5,3.75,0.0,0
1569,2-108,绝缘子安装(1 0 K V以下) 户内式支持绝缘子 1孔,10个,111.72,36.72,69.19,5.81,0
1570,2-109,绝缘子安装(1 0 K V以下) 户内式支持绝缘子 2孔,10个,186.66,89.42,91.43,5.81,0
1571,2-110,绝缘子安装(1 0 K V以下) 户内式支持绝缘子 4孔,10个,249.53,114.91,128.81,5.81,0
1572,2-111,绝缘子安装(1 0 K V以下) 户外式支持绝缘子 1孔,10个,117.31,28.94,80.65,7.72,0
1573,2-112,绝缘子安装(1 0 K V以下) 户外式支持绝缘子 2孔,10个,177.1,71.71,97.67,7.72,0
1574,2-113,绝缘子安装(1 0 K V以下) 户外式支持绝缘子 4孔,10个,226.97,91.15,128.1,7.72,0
1575,2-114,穿墙套管安装 电压10K V以下,个,39.66,12.53,23.27,3.86,0
1576,2-115,软母线安装 导线截面150mm2以内,跨/3相,224.23,190.08,11.24,22.91,0
1577,2-116,软母线安装 导线截面240mm2以内,跨/3相,277.04,198.72,7.32,71.0,0
1578,2-117,软母线安装 导线截面400mm2以内,跨/3相,353.99,224.64,9.59,119.76,0
1579,2-118,软母线引下线、跳线及设备连线 导线截面150mm2以下,跨/3相,136.91,95.04,33.18,8.69,0
1580,2-119,软母线引下线、跳线及设备连线 导线截面240mm2以下,跨/3相,188.49,99.36,53.55,35.58,0
1581,2-120,软母线引下线、跳线及设备连线 导线截面400mm2以下,跨/3相,209.79,110.59,56.68,42.52,0
1582,2-121,组合软母线安装 母线2根数,组/3相,769.54,505.01,42.98,221.55,0
1583,2-122,组合软母线安装 母线3根数,组/3相,1043.68,653.62,57.35,332.71,0
1584,2-123,组合软母线安装 母线10根数,组/3相,2303.48,1616.54,171.37,515.57,0
1585,2-124,组合软母线安装 母线14根数,组/3相,2935.05,2079.22,235.2,620.63,0
1586,2-125,组合软母线安装 母线18根数,组/3相,3539.56,2452.46,300.63,786.47,0
1587,2-126,组合软母线安装 母线26根数,组/3相,4575.99,3055.54,427.29,1093.16,0
1588,2-127,带形母线安装 带形铜母线 每相一片截面360mm2以下,10m/单线,201.54,79.06,72.75,49.73,0
1589,2-128,带形母线安装 带形铜母线 每相一片截面800mm2以下,10m/单线,256.4,110.59,78.63,67.18,0
1590,2-129,带形母线安装 带形铜母线 每相一片截面1000mm2以下,10m/单线,304.31,127.01,104.87,72.43,0
1591,2-130,带形母线安装 带形铜母线 每相一片截面1250mm2以下,10m/单线,338.33,141.7,117.64,78.99,0
1592,2-131,带形母线安装 带形铜母线 每相二片截面1000mm2以下,10m/单线,585.56,228.53,217.45,139.58,0
1593,2-132,带形母线安装 带形铜母线 每相二片截面1250mm2以下,10m/单线,654.16,255.31,246.21,152.64,0
1594,2-133,带形母线安装 带形铜母线 每相三片截面1000mm2以下,10m/单线,872.74,329.62,336.38,206.74,0
1595,2-134,带形母线安装 带形铜母线 每相三片截面1250mm2以下,10m/单线,1009.97,409.97,373.64,226.36,0
1596,2-135,带形母线安装 带形铜母线 每相四片截面1000mm2以下,10m/单线,1146.47,425.95,446.63,273.89,0
1597,2-136,带形母线安装 带形铜母线 每相四片截面1250mm2以下,10m/单线,1276.49,480.38,496.1,300.01,0
1598,2-137,带形母线安装 带形铝母线安装 每相一片截面360mm2以下,10m/单线,148.75,55.73,53.1,39.92,0
1599,2-138,带形母线安装 带形铝母线安装 每相一片截面800mm2以下,10m/单线,187.8,77.76,54.85,55.19,0
1600,2-139,带形母线安装 带形铝母线安装 每相一片截面1000mm2以下,10m/单线,209.87,88.99,60.55,60.33,0
1601,2-140,带形母线安装 带形铝母线安装 每相一片截面1250mm2以下,10m/单线,228.5,99.36,63.67,65.47,0
1602,2-141,带形母线安装 带形铝母线安装 每相二片截面1000mm2以下,10m/单线,411.87,163.3,128.47,120.1,0
1603,2-142,带形母线安装 带形铝母线安装 每相二片截面1250mm2以下,10m/单线,446.64,182.3,134.01,130.33,0
1604,2-143,带形母线安装 带形铝母线安装 每相三片截面1000mm2以下,10m/单线,595.12,235.49,179.2,180.43,0
1605,2-144,带形母线安装 带形铝母线安装 每相三片截面1250mm2以下,10m/单线,700.37,292.9,211.68,195.79,0
1606,2-145,带形母线安装 带形铝母线安装 每相四片截面1000mm2以下,10m/单线,814.83,304.13,270.55,240.15,0
1607,2-146,带形母线安装 带形铝母线安装 每相四片截面1250mm2以下,10m/单线,884.89,343.01,281.28,260.6,0
1608,2-147,带形母线引下线安装 带形铜母线引下线安装 每相一片截面360mm2以下,10m/单线,291.69,152.5,84.37,54.82,0
1609,2-148,带形母线引下线安装 带形铜母线引下线安装 每相一片截面800mm2以下,10m/单线,394.92,216.43,107.24,71.25,0
1610,2-149,带形母线引下线安装 带形铜母线引下线安装 每相一片截面1000mm2以下,10m/单线,456.05,260.06,121.57,74.42,0
1611,2-150,带形母线引下线安装 带形铜母线引下线安装 每相一片截面1250mm2以下,10m/单线,483.39,277.78,127.47,78.14,0
1612,2-151,带形母线引下线安装 带形铜母线引下线安装 每相二片截面1000mm2以下,10m/单线,848.13,494.21,210.37,143.55,0
1613,2-152,带形母线引下线安装 带形铜母线引下线安装 每相二片截面1250mm2以下,10m/单线,940.09,568.51,220.64,150.94,0
1614,2-153,带形母线引下线安装 带形铜母线引下线安装 每相三片截面1000mm2以下,10m/单线,1282.66,749.52,320.45,212.69,0
1615,2-154,带形母线引下线安装 带形铜母线引下线安装 每相三片截面1250mm2以下,10m/单线,1335.5,776.74,334.96,223.8,0
1616,2-155,带形母线引下线安装 带形铜母线引下线安装 每相四片截面1000mm2以下,10m/单线,1695.74,1006.99,406.92,281.83,0
1617,2-156,带形母线引下线安装 带形铜母线引下线安装 每相四片截面1250mm2以下,10m/单线,1782.92,1060.99,425.32,296.61,0
1618,2-157,带形母线引下线安装 带形铝母线引下线安装 每相一片截面360mm2以下,10m/单线,193.41,108.86,43.09,41.46,0
1619,2-158,带形母线引下线安装 带形铝母线引下线安装 每相一片截面800mm2以下,10m/单线,268.66,154.66,54.96,59.04,0
