Unnamed: 0,Unnamed: 1,1月至今,1月至今.1,1月至今.2,1月至今.3,1月至今.4,1月至今.5,1月至今.6,1月至今.7,1月至今.8,1月至今.9,1月销售,1月销售.1,1月销售.2,1月销售.3,1月销售.4,1月销售.5,1月销售.6,1月销售.7,1月销售.8,1月销售.9,2月销售,2月销售.1,2月销售.2,2月销售.3,2月销售.4,2月销售.5,2月销售.6,2月销售.7,2月销售.8,2月销售.9,3月销售,3月销售.1,3月销售.2,3月销售.3,3月销售.4,3月销售.5,3月销售.6,3月销售.7,3月销售.8,3月销售.9,4月销售,4月销售.1,4月销售.2,4月销售.3,4月销售.4,4月销售.5,4月销售.6,4月销售.7,4月销售.8,4月销售.9,5月销售,5月销售.1,5月销售.2,5月销售.3,5月销售.4,5月销售.5,5月销售.6,5月销售.7,5月销售.8,5月销售.9,5月销售.10,5月销售.11,5月销售.12,5月销售.13
,广州珠江新城浩沙室内运动综合店,,,,#DIV/0!,,11.35,10.33,0.91,,,,0.0,0.0,#DIV/0!,,2.48,2.24,0.91,,,,0.0,0.0,#DIV/0!,,2.11,1.85,0.88,,,,0.0,0.0,#DIV/0!,,3.25,2.94,0.9,,,,0.0,0.0,,,3.2,3.02,0.95,,,,0.0,0.0,#DIV/0!,,0.31,0.27,0.86,37,124,2.09,,,87.47
,天河城百货网店,,,,#DIV/0!,,0.83,0.29,0.35,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.83,0.29,0.35,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,18.58
广州二区 汇总,,,,,0.73,,475.59,302.4,0.64,-0.09,5%,,136.57,99.73,0.73,,177.83,108.82,0.61,-0.12,9%,,87.49,64.58,0.74,,94.4,60.52,0.64,-0.1,-6%,,80.78,60.17,0.74,,105.72,63.55,0.6,-0.14,6%,,72.83,52.32,0.72,,82.54,59.26,0.72,0.0,13%,,102.11,74.54,0.73,,15.1,10.26,0.68,13,5534,79.53,-0.05,7%,1508.21
深圳,（深）深圳保利天虹内衣店,,,,0.58,,15.54,8.28,0.53,-0.04,29%,,5.95,3.44,0.58,,8.9,5.21,0.59,0.01,51%,,2.74,1.65,0.6,,3.46,1.54,0.44,-0.16,-7%,,0.9,0.53,0.59,,1.47,0.71,0.48,-0.11,34%,,1.25,0.6,0.49,,1.18,0.56,0.48,-0.01,-7%,,1.88,1.0,0.53,,0.53,0.26,0.48,10,271,1.98,-0.05,98%,40.78
,（深）深圳布吉天虹内衣店,,,,0.8,,30.36,27.66,0.91,0.12,5%,,17.61,15.36,0.87,,20.88,21.16,1.01,0.14,38%,,6.97,3.81,0.55,,3.33,1.95,0.59,0.04,-49%,,2.42,1.77,0.73,,2.89,2.0,0.69,-0.04,13%,,4.65,3.96,0.85,,2.22,1.53,0.69,-0.16,-61%,,3.67,3.37,0.92,,1.04,1.02,0.98,8,698,7.87,0.06,133%,59.35
,（深）深圳创业天虹内衣店,,,,0.68,,61.63,47.7,0.77,0.1,46%,,24.59,17.23,0.7,,45.45,36.9,0.81,0.11,114%,,14.35,7.81,0.54,,6.54,4.27,0.65,0.11,-45%,,3.41,2.52,0.74,,4.84,3.31,0.68,-0.05,31%,,4.15,3.41,0.82,,3.28,2.38,0.73,-0.09,-30%,,9.73,6.3,0.65,,1.53,0.83,0.54,7,984,6.42,-0.11,2%,75.49
,（深）深圳鼎城国际天虹内衣店,,,,0.94,,59.28,37.93,0.64,-0.3,-12%,,19.3,18.98,0.98,,29.26,19.1,0.65,-0.33,1%,,11.16,10.26,0.92,,9.97,5.35,0.54,-0.38,-48%,,7.13,6.36,0.89,,11.98,5.58,0.47,-0.43,-12%,,7.1,6.37,0.9,,6.44,6.28,0.97,0.08,-1%,,4.72,4.09,0.87,,1.63,1.62,0.99,7,907,12.52,0.13,206%,81.7
,（深）深圳东门天虹内衣店,,,,0.95,,33.73,28.21,0.84,-0.11,41%,,9.87,9.59,0.97,,24.46,23.07,0.94,-0.03,141%,,6.37,6.08,0.96,,3.12,1.68,0.54,-0.42,-72%,,1.89,1.46,0.77,,3.79,1.82,0.48,-0.29,25%,,1.93,1.87,0.97,,1.77,1.08,0.61,-0.36,-42%,,8.43,5.24,0.62,,0.6,0.56,0.94,26,264,4.33,0.31,-17%,115.09
,（深）深圳国贸天虹商场内衣店,,,,0.87,,44.64,33.02,0.74,-0.14,0%,,21.02,20.63,0.98,,23.87,22.14,0.93,-0.05,7%,,9.73,6.81,0.7,,6.65,3.57,0.54,-0.16,-48%,,3.58,3.14,0.88,,6.84,3.76,0.55,-0.33,20%,,2.79,2.08,0.74,,6.15,2.92,0.48,-0.27,41%,,4.47,2.77,0.62,,1.13,0.62,0.55,14,674,4.83,-0.07,74%,120.99
,（深）深圳金光华瑜伽健身店,,,,0.65,,16.03,14.25,0.89,0.24,-26%,,2.96,2.52,0.85,,3.13,2.86,0.92,0.07,14%,,3.25,2.97,0.91,,3.17,2.85,0.9,-0.01,-4%,,3.96,3.6,0.91,,3.3,2.9,0.88,-0.03,-19%,,4.68,4.12,0.88,,5.07,4.5,0.89,0.01,9%,,18.97,9.98,0.53,,1.37,1.13,0.83,8,434,8.79,0.3,-12%,83.19
,（深）深圳君尚百货运动内衣店,,,,0.67,,27.04,16.47,0.61,-0.06,17%,,10.27,6.32,0.62,,14.02,9.2,0.66,0.04,45%,,6.53,4.46,0.68,,2.36,1.68,0.71,0.03,-62%,,2.04,1.53,0.75,,8.61,3.98,0.46,-0.29,160%,,1.99,1.69,0.85,,1.81,1.43,0.79,-0.06,-16%,,3.19,2.51,0.79,,0.24,0.18,0.77,75,101,1.43,-0.02,-43%,134.97
,（深）深圳龙华天虹内衣店,,,,0.86,,55.03,45.62,0.83,-0.03,101%,,14.43,11.91,0.82,,30.8,30.42,0.99,0.16,155%,,5.9,5.75,0.98,,8.59,6.32,0.74,-0.24,10%,,1.64,1.12,0.68,,7.87,3.81,0.48,-0.2,239%,,3.98,3.68,0.93,,5.91,3.22,0.54,-0.38,-13%,,2.38,1.45,0.61,,1.85,1.85,1.0,8,1046,14.33,0.39,888%,116.89
,（深）深圳龙新天虹内衣店,,,,0.95,,74.23,65.31,0.88,-0.07,76%,,18.96,18.56,0.98,,47.72,47.72,1.0,0.02,157%,,9.99,9.66,0.97,,8.33,5.11,0.61,-0.35,-47%,,3.94,3.39,0.86,,9.49,6.39,0.67,-0.19,88%,,5.37,4.94,0.92,,7.11,5.27,0.74,-0.18,7%,,7.67,4.36,0.57,,1.57,0.83,0.53,10,853,6.46,-0.04,48%,121.08
,（深）深圳茂业华强瑜伽健身店,,,,0.8,,42.02,26.62,0.63,-0.16,39%,,7.15,4.62,0.65,,21.01,9.01,0.43,-0.22,95%,,3.73,2.94,0.79,,4.87,4.04,0.83,0.04,37%,,6.79,5.95,0.88,,7.28,6.18,0.85,-0.03,4%,,5.5,4.87,0.89,,6.64,5.6,0.84,-0.04,15%,,10.18,8.81,0.87,,2.22,1.78,0.8,9,620,13.83,-0.06,57%,156.09
,（深）深圳梅林天虹内衣店,,,,0.99,,33.62,33.76,1.0,0.01,31%,,14.03,14.39,1.03,,24.33,25.58,1.05,0.03,78%,,5.47,5.62,1.03,,3.84,3.6,0.94,-0.09,-36%,,1.61,1.11,0.69,,2.5,2.14,0.86,0.17,94%,,4.07,3.88,0.95,,2.32,1.87,0.81,-0.15,-52%,,3.06,2.46,0.8,,0.63,0.56,0.89,18,326,4.37,0.09,78%,85.41
,（深）深圳民治天虹内衣店,,,,0.79,,35.17,27.07,0.77,-0.02,49%,,14.03,12.76,0.91,,25.89,22.31,0.86,-0.05,75%,,4.43,2.39,0.54,,2.58,1.61,0.62,0.08,-33%,,1.38,1.02,0.74,,4.22,1.75,0.41,-0.32,72%,,2.69,1.67,0.62,,1.49,0.9,0.6,-0.02,-46%,,2.7,2.2,0.82,,0.99,0.52,0.52,10,574,3.99,-0.3,81%,71.52
,（深）深圳前进天虹内衣店,,,,0.75,,42.48,35.31,0.83,0.09,61%,,16.1,14.52,0.9,,31.27,29.05,0.93,0.03,100%,,8.64,4.63,0.54,,4.42,2.53,0.57,0.03,-45%,,1.6,1.15,0.72,,2.97,1.61,0.54,-0.18,40%,,2.41,1.31,0.55,,2.88,1.65,0.58,0.03,26%,,3.16,1.95,0.62,,0.94,0.47,0.51,16,597,3.67,-0.11,88%,114.0
,（深）深圳太阳百货水运动店,,,,0.6,,8.5,5.14,0.61,0.01,40%,,2.51,1.33,0.53,,1.98,1.26,0.64,0.11,-5%,,1.51,0.78,0.52,,1.83,1.15,0.63,0.11,47%,,0.68,0.53,0.79,,2.18,1.24,0.57,-0.22,132%,,1.37,0.98,0.72,,1.97,1.14,0.58,-0.14,16%,,1.28,0.99,0.78,,0.55,0.36,0.65,12,233,2.76,-0.12,178%,47.57
,深圳吉之岛东湖水运动季节店,,,,#DIV/0!,,0.35,0.24,0.68,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.35,0.24,0.68,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,23.74
,深圳南山吉之岛水运动季节店,,,,#DIV/0!,,0.47,0.32,0.68,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.47,0.32,0.68,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,23.66
深圳 汇总,,,,,0.81,,580.12,452.9,0.78,-0.03,32%,,198.8,172.16,0.87,,352.95,304.98,0.86,0.0,77%,,100.76,75.62,0.75,,73.07,47.25,0.65,-0.1,-38%,,42.97,35.17,0.82,,80.23,47.18,0.59,-0.23,34%,,53.92,45.43,0.84,,57.07,40.9,0.72,-0.13,-10%,,85.49,57.48,0.67,,16.81,12.59,0.75,12,8579,97.57,0.08,70%,1471.51
南宁,(广)南宁梦之岛购物中心内衣店,,,,0.77,,2.99,2.32,0.77,0.0,6%,,1.35,0.99,0.73,,1.12,0.9,0.8,0.07,-9%,,0.41,0.35,0.85,,0.74,0.55,0.74,-0.11,58%,,0.32,0.27,0.85,,0.31,0.26,0.84,-0.01,-5%,,0.72,0.56,0.78,,0.37,0.31,0.84,0.06,-44%,,0.33,0.28,0.85,,0.45,0.3,0.67,22,240,2.36,-0.18,756%,73.31
,(广)南宁梦之岛水晶城瑜伽健身店,,,,0.84,,17.37,13.46,0.77,-0.07,-11%,,3.63,2.89,0.8,,2.97,2.31,0.78,-0.02,-20%,,4.17,3.57,0.86,,4.2,3.2,0.76,-0.1,-10%,,4.43,3.88,0.88,,3.71,3.19,0.86,-0.02,-18%,,5.07,4.29,0.85,,5.93,4.36,0.74,-0.11,2%,,7.44,6.24,0.84,,0.56,0.41,0.73,27,202,3.16,-0.11,-49%,114.51
南宁 汇总,,,,,0.83,,20.37,15.78,0.77,-0.06,-9%,,4.98,3.88,0.78,,4.09,3.21,0.78,0.0,-17%,,4.57,3.92,0.86,,4.94,3.75,0.76,-0.1,-4%,,4.75,4.15,0.87,,4.02,3.44,0.86,-0.02,-17%,,5.79,4.85,0.84,,6.3,4.67,0.74,-0.1,-4%,,7.77,6.52,0.84,,1.01,0.71,0.7,25,442,5.52,-0.14,-15%,187.81
已撤柜,（广）广州大通北广百运动内衣店,,,,0.62,,5.49,2.57,0.47,-0.15,-60%,,4.81,2.85,0.59,,2.97,1.37,0.46,-0.13,-52%,,2.23,1.37,0.61,,0.96,0.43,0.45,-0.16,-68%,,2.09,1.21,0.58,,1.56,0.76,0.49,-0.09,-37%,,1.19,0.94,0.79,,0.0,0.0,#DIV/0!,,-100%,,0.52,0.5,0.96,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.16
,（广）广州摩登黄埔运动内衣店,,,,0.53,,0.0,0.0,#DIV/0!,,-100%,,1.19,0.63,0.53,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.0
,（广）广州天河城名盛瑜伽健身店,,,,0.85,,9.7,7.46,0.77,-0.08,31%,,1.49,1.14,0.77,,2.73,2.11,0.77,0.01,85%,,1.27,1.12,0.88,,3.37,2.64,0.78,-0.09,136%,,2.53,2.26,0.89,,2.41,2.03,0.84,-0.05,-10%,,1.01,0.84,0.83,,1.18,0.67,0.57,-0.26,-20%,,2.5,2.19,0.88,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,3.79
,（深）大梅沙奥特莱斯水运动店,,,,0.5,,1.36,0.54,0.39,-0.11,-96%,,8.88,4.07,0.46,,0.0,0.0,#DIV/0!,,-100%,,6.16,3.27,0.53,,0.0,0.0,#DIV/0!,,-100%,,4.77,2.59,0.54,,0.0,0.0,#DIV/0!,,-100%,,6.63,3.42,0.52,,1.36,0.54,0.39,-0.12,-84%,,9.47,4.55,0.48,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,17.62
,（深）深圳坪山天虹运动内衣店,,,,0.79,,0.0,0.0,#DIV/0!,,-100%,,2.67,2.36,0.89,,0.0,0.0,#DIV/0!,,-100%,,0.72,0.4,0.56,,0.0,0.0,#DIV/0!,,-100%,,0.35,0.25,0.72,,0.0,0.0,#DIV/0!,,-100%,,0.9,0.69,0.77,,0.0,0.0,#DIV/0!,,-100%,,0.72,0.56,0.78,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
,（深）深圳卓越时代瑜伽健身店,,,,0.87,,0.0,0.0,#DIV/0!,,-100%,,0.44,0.35,0.8,,0.0,0.0,#DIV/0!,,-100%,,0.41,0.4,0.97,,0.0,0.0,#DIV/0!,,-100%,,0.74,0.69,0.92,,0.0,0.0,#DIV/0!,,-100%,,1.04,0.84,0.81,,0.0,0.0,#DIV/0!,,-100%,,1.11,1.0,0.9,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
,广东中山优越百货水运动店,,,,0.96,,0.0,0.0,#DIV/0!,,-100%,,0.19,0.18,0.96,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.54
,广州百佳富景专卖店,,,,0.65,,0.0,0.0,#DIV/0!,,-100%,,9.69,6.13,0.63,,0.0,0.0,#DIV/0!,,-100%,,4.79,3.11,0.65,,0.0,0.0,#DIV/0!,,-100%,,3.73,2.22,0.6,,0.0,0.0,#DIV/0!,,-100%,,1.59,1.27,0.8,,0.0,0.0,#DIV/0!,,-100%,,3.44,2.39,0.7,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,12.35
,广州北京路滔博瑜伽健身店,,,,0.87,,0.0,0.0,#DIV/0!,,-100%,,1.48,1.23,0.83,,0.0,0.0,#DIV/0!,,-100%,,1.89,1.78,0.94,,0.0,0.0,#DIV/0!,,-100%,,0.8,0.61,0.77,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.54
,广州江南西运动内衣专卖店,,,,0.45,,0.0,0.0,#DIV/0!,,-100%,,4.05,1.89,0.47,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,1.05,0.43,0.41,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,-0.05
,广州经开区青年路专卖店,,,,0.59,,0.0,0.0,#DIV/0!,,-100%,,5.77,3.38,0.59,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,1.18
,广州天河城花花世界店,,,,0.52,,0.0,0.0,#DIV/0!,,-100%,,5.9,2.98,0.5,,0.0,0.0,#DIV/0!,,-100%,,2.47,1.41,0.57,,0.0,0.0,#DIV/0!,,-100%,,1.32,0.66,0.49,,0.0,0.0,#DIV/0!,,-100%,,2.39,1.28,0.54,,0.0,0.0,#DIV/0!,,-100%,,3.65,2.08,0.57,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
,广州天河城天银瑜伽健身店,,,,0.7,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,1.59,1.11,0.7,,0.0,0.0,#DIV/0!,,-100%,,1.14,0.69,0.61,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,115.19
,广州友谊商城总部内衣店,,,,0.35,,0.0,0.0,#DIV/0!,,-100%,,0.13,0.04,0.35,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.15
,广州正佳滔博运动室内运动店,,,,#DIV/0!,,9.72,3.64,0.37,,,,0.0,0.0,#DIV/0!,,7.69,2.56,0.33,,,,0.0,0.0,#DIV/0!,,2.03,1.08,0.53,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,1.94
,广州中华广场浩沙专卖店,,,,0.59,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.49,0.27,0.55,,0.0,0.0,#DIV/0!,,-100%,,3.4,2.49,0.73,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
,广州珠江新城广百水运动店,,,,0.9,,0.0,0.0,#DIV/0!,,-100%,,1.44,1.3,0.9,,0.0,0.0,#DIV/0!,,-100%,,0.96,0.88,0.91,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,1.29,1.15,0.9,,0.0,0.0,#DIV/0!,,-100%,,1.87,1.72,0.92,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,-0.01
,深圳常兴天虹内衣店,,,,0.98,,0.0,0.0,#DIV/0!,,-100%,,18.65,18.66,1.0,,0.0,0.0,#DIV/0!,,-100%,,7.78,7.58,0.97,,0.0,0.0,#DIV/0!,,-100%,,2.95,2.47,0.84,,0.0,0.0,#DIV/0!,,-100%,,3.54,3.48,0.98,,0.0,0.0,#DIV/0!,,-100%,,2.95,2.52,0.85,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
,深圳东门内衣专卖店,,,,0.41,,0.0,0.0,#DIV/0!,,-100%,,4.34,1.79,0.41,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.63
,深圳茂业东门水运动店,,,,0.47,,0.0,0.0,#DIV/0!,,-100%,,0.87,0.44,0.51,,0.0,0.0,#DIV/0!,,-100%,,0.55,0.29,0.53,,0.0,0.0,#DIV/0!,,-100%,,0.26,0.09,0.36,,0.0,0.0,#DIV/0!,,-100%,,0.3,0.1,0.34,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.0
,深圳茂业和平水运动店,,,,0.56,,0.0,0.0,#DIV/0!,,-100%,,3.04,1.8,0.59,,0.0,0.0,#DIV/0!,,-100%,,3.01,1.71,0.57,,0.0,0.0,#DIV/0!,,-100%,,4.41,2.45,0.56,,0.0,0.0,#DIV/0!,,-100%,,4.22,2.24,0.53,,0.0,0.0,#DIV/0!,,-100%,,8.19,3.96,0.48,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
,深圳双龙天虹内衣店,,,,0.57,,0.0,0.0,#DIV/0!,,-100%,,0.33,0.19,0.57,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.0
,中山古镇益华内衣店,,,,0.77,,0.0,0.0,#DIV/0!,,-100%,,7.32,5.89,0.8,,0.0,0.0,#DIV/0!,,-100%,,1.6,1.1,0.69,,0.0,0.0,#DIV/0!,,-100%,,1.71,1.2,0.7,,0.0,0.0,#DIV/0!,,-100%,,1.49,1.15,0.77,,0.0,0.0,#DIV/0!,,-100%,,1.03,0.91,0.88,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,0.0
已撤柜 汇总,,,,,0.66,,38.62,15.99,0.41,-0.24,-87%,,88.45,58.19,0.66,,16.97,6.88,0.41,-0.25,-88%,,36.1,24.61,0.68,,9.11,4.21,0.46,-0.22,-83%,,26.72,17.13,0.64,,5.03,2.99,0.59,-0.05,-83%,,29.56,19.0,0.64,,7.51,1.91,0.25,-0.39,-90%,,43.04,26.34,0.61,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,154.03
总计,,,,,0.73,,1691.73,1140.47,0.67,-0.05,9%,,622.13,464.74,0.75,,820.42,596.27,0.73,-0.02,28%,,317.28,228.15,0.72,,317.44,193.31,0.61,-0.11,-15%,,233.21,161.01,0.69,,296.37,172.15,0.58,-0.11,7%,,210.6,155.16,0.74,,214.24,147.01,0.69,-0.05,-5%,,319.63,219.98,0.69,,43.25,31.73,0.73,15,19011,245.92,0.05,12%,4793.1
