全国统一安装工程施工仪器仪表台班费用-编码,全国统一安装工程施工仪器仪表台班费用-名称及规格型号,全国统一安装工程施工仪器仪表台班费用-单位,全国统一安装工程施工仪器仪表台班费用-单价
200212620900,扫频图示仪  BT15B,台班,70.09
200212620950,扫频图示仪  BT15A,台班,64.84
200212621000,数字式高频扫频仪  NW1233,台班,14.62
200212621050,宽带扫频仪  NW1252RF,台班,28.25
200212621100,扫频幅度分析仪  GH3610,台班,6.16
200212640050,示波器  SR10,台班,10.92
200212640100,示波器  SR12A,台班,9.25
200212640150,示波器  SR15,台班,7.61
200212640200,示波器  SR20,台班,6.76
200212640250,示波器  SR27,台班,8.64
200212640300,示波器  SR35,台班,14.17
200212640350,示波器  SR37,台班,14.17
200212640400,示波器  SR43,台班,20.68
200212640450,示波器  SR75,台班,6.14
200212640500,示波器  BS5506,台班,12.48
200212640550,示波器  HP-54501B,台班,84.45
200212640600,示波器  HP-54503A,台班,115.13
200212640650,示波器  HP-54600B,台班,44.09
200212640700,示波器  HP-54601B,台班,52.8
200212640750,示波器  HP-54602B,台班,59.91
200212640800,示波器  HP-54603B,台班,31.21
200212640850,示波器  HP-54610B,台班,88.17
200212640900,示波器  SS-5711,台班,22.63
200212640950,示波器  SS7935,台班,96.41
200212641000,示波器  SS5702A,台班,12.32
200212641050,示波器  SS-5705A,台班,11.11
200212641100,示波器  HH4469,台班,18.63
200212641150,示波器  HH4380,台班,30.32
200212641200,示波器  TEK2245A,台班,43.39
200212641250,示波器  SBM-14,台班,7.39
200212641300,示波器  YB4331 100MZ，多踪,台班,14.86
200212641350,示波器  JS-5250,台班,5.71
200212641400,示波器  DC4242,台班,4.33
200212641450,示波器  BS-5506,台班,12.48
200212641500,示波器  V1050F,台班,14.86
200212641550,示波器  YB4331 40MZ，灵敏度1mV/div 多踪,台班,10.63
200212641600,示波器  V-212,台班,9.25
200212641650,示波器  PM3380A,台班,154.11
200212641700,示波器  SS7611,台班,54.15
200212641750,示波器  COS5020,台班,11.09
200212641800,示波器  MOOEr,台班,10.02
200212641850,通用示波器  HH4369,台班,17.7
200212641900,通用示波器  HH4330,台班,7.86
200212641950,通用示波器  HH4349,台班,12.48
200212642000,通用示波器  HH4370A,台班,21.86
200212642050,双线示波器  SBD,台班,6.64
200212642100,双线示波器  SBE7,台班,5.52
200212642150,宽带示波器  COS6100,台班,36.7
200212642200,超低频示波器  TD4651,台班,6.17
200212642250,超低频示波器  TD4652,台班,6.48
200212642300,超低频示波器  TD4654,台班,6.78
200212642350,超低频示波器  SBD6B,台班,4.9
200212642400,取样示波器  SAS601B,台班,77.23
200212642450,存储示波器  GHP-54512B,台班,41.9
200212642500,数字存储示波器  HP-54512B,台班,213.32
200212642550,数字存储示波器  1602,台班,92.6
200212642600,数字存储示波器  HP54501,台班,74.14
200212642650,数字存储示波器  VC-7104,台班,118.63
200212642700,数字存储示波器  YB4274,台班,7.25
200212642750,数字存储示波器  HH4440,台班,19.55
200212642800,数字存储示波器  HH4441,台班,24.17
200212642850,数字存储示波器  HP54501A,台班,91.21
200212642900,双线存储示波器  H6,台班,125.04
200212642950,双线存储示波器  SS5802,台班,15.41
200212643000,数码存储示波器  PM33500,台班,57.83
200212643050,读出数字存储示波器  COP5521U,台班,25.7
200212643100,读出数字存储示波器  COP5541U,台班,29.55
200212643150,读出数字存储示波器  COP5561U,台班,34.17
200212643200,读出数字存储示波器  COP5501U,台班,38.77
200212643250,四踪存储示波器  TD4864,台班,12.64
200212643300,双踪记忆示波器  SJ-7,台班,29.55
200212643350,双踪记忆示波器  SJ-6,台班,30.93
200212643400,记忆示波器  1602,台班,139.62
200212643450,记忆示波器  PM3350A-40,台班,57.83
200212643500,快转移记忆示波器  NH4461,台班,40.32
200212643550,高灵敏度示波器  SR46,台班,14.17
200212643600,高灵敏度示波器  SG1,台班,19.55
200212643650,慢扫描示波器  XJ18,台班,4.33
200212643700,双踪慢扫描示波器  ZJ4630,台班,6.17
200212643750,便携慢扫描示波器  WC4630,台班,4.48
200212643800,双踪延时扫描示波器  WC4631,台班,3.56
200212643850,双踪延时扫描示波器  HH4320,台班,6.94
200212643900,双踪延时扫描示波器  HH4431,台班,6.09
200212643950,双踪延时扫描示波器  GOS643,台班,8.48
200212644000,双踪多功能示波器  XJ4245,台班,4.71
200212644050,波形监视器  DC5400,台班,22.78
200212644100,波形监视器  DC5401,台班,13.4
200212644150,波形监视示波器  XJ5440,台班,12.94
200212644200,立体声示波器  CS1575A,台班,13.71
200212644250,立体声示波器  DC4242,台班,4.33
200212644300,模拟示波器  TEK-2465,台班,66.46
200212644350,模拟示波器  V-1065A,台班,26.32
200212644400,光线示波器  SC-18,台班,9.09
200212644450,三合一示波器  FLUKE97,台班,43.39
200112622400,频谱分析仪  1776,台班,300.11
200212621150,频谱分析仪  PSA35A,台班,68.41
200212621200,频谱分析仪  MS610BT,台班,18.6
200212621250,频谱分析仪  HP8555A,台班,269.35
200212621300,频谱分析仪  HP3585,台班,448.75
200212621350,频谱分析仪  HP8529B,台班,439.78
200212621400,频谱分析仪  MS62A,台班,152.72
200212621450,频谱分析仪  MS610B 10kHz～2000MHz,台班,141.96
200212621500,频谱分析仪  MS2601,台班,22.65
200212621550,频谱分析仪  PSA-65,台班,101.59
200212621600,频谱分析仪  QF4031,台班,10.82
200212621650,频谱分析仪  BP4B,台班,13.55
200212621700,频谱分析仪  TEK2712,台班,274.73
200212621750,频谱分析仪  MS10G,台班,631.76
200212621800,宽带频谱分析仪  BP9,台班,18.31
200212621850,全景频谱分析仪  BP12A,台班,72.0
200212621900,高频频谱分析仪  NW4020,台班,98.91
200212621950,高频频谱分析仪  PFG-2B,台班,17.81
200212622000,频谱分析/扫频仪  BP29A,台班,80.97
200212622050,固态全景频谱分析仪  BP30,台班,50.47
200212622100,固态全景频谱分析仪  YH4032,台班,57.29
200212622150,数字时实频谱分析仪  NW6270,台班,63.02
200212622200,微波频谱分析仪  TEK492PGM,台班,394.93
200212622250,标准组合频谱分析仪  HP141T,台班,529.49
200212622300,噪声频谱分析仪  HS6280A,台班,13.15
200212622350,频谱仪  HP85563E,台班,502.58
200212660050,调制度测试仪  BD5,台班,15.49
200212661050,便携式调制度测试仪  QG4131,台班,10.28
200212662050,低载频调制度测试仪  QF4132,台班,8.3
200212670050,失真仪  QF4111,台班,16.38
200212670100,失真度仪  3104A,台班,10.82
200212670150,失真度测量仪  BS-1,台班,3.82
200212670200,失真度测量仪  QF4110,台班,5.16
200212670250,全自动失真仪  GW411X,台班,8.3
200212670300,自动失真度测量仪  DM3104A,台班,11.62
200212670350,自动失真度测量仪  S907,台班,3.82
200212670400,自动失真度测量仪  ZQ4121,台班,6.5
200212670450,同步失真度测量仪  ZQ4120,台班,8.3
200212670500,失真仪检定装置  ZQ4100,台班,34.32
200212670550,低失真仪检定装置  ZQ4105,台班,34.32
200212670600,低失真仪检定装置  DSJ-90A,台班,34.32
200212680050,低频数字相位仪  BX21,台班,19.27
200212681050,高频数字相位仪  BX22,台班,22.62
200212690050,噪声系数测试仪  AV3981,台班,141.96
200212690100,噪声系数测试仪  HP8970,台班,93.53
200212690150,噪声系数测试仪  HP8972A,台班,97.11
200212690200,自动噪声系数测试仪  XZ26,台班,75.58
200212690250,白噪声测试仪  UZ4/M1 M2,台班,23.91
200212690300,噪声数据采集器  HS6290,台班,2.38
200212690350,噪声测试仪  HP8971A,台班,97.11
200212690400,噪声测试仪  MEV8,台班,222.69
200212690450,噪声测量放大器  AW5810,台班,3.82
200212690500,杂音计  HF5150A,台班,5.26
200212690550,杂音计  JH5151/01,台班,4.72
200212690600,杂音计  JH5151/03,台班,5.97
200212690650,数字杂音计  YX-5151A,台班,9.92
200212690700,杂音测试计  GY5150,台班,5.79
200212690750,微波串杂音测量仪  WZ-01,台班,116.85
200212700050,抖晃仪  3103A,台班,11.96
200212700100,抖晃仪  LFM3615,台班,31.55
200212700150,抖晃仪  MK-668E,台班,17.12
200212700200,抖晃仪  TWF-733,台班,14.97
200212700250,抖晃仪  WF-3103A,台班,11.96
200212701050,数显抖晃仪  WF3105,台班,15.41
200212701100,数显抖晃仪  WF3150,台班,15.41
200212702050,抖动调试振荡器  AV1694,台班,34.35
200212702100,抖动调试振荡器  MH370A,台班,133.81
200212710050,精密声级计  ND2,台班,7.28
200212710100,精密脉冲声级计  HS5660,台班,7.28
200212710150,精密声级计系统  HS5570,台班,47.54
200212710200,脉冲声级计  ND6,台班,5.76
200212710250,数音显声级计  HS5633,台班,4.48
200212720050,智能射频分析仪  DD3620,台班,161.7
200212720100,音频分析仪  HP8930A,台班,85.81
200212720150,动态信号分析仪  JSC-202,台班,32.52
200212720200,频响分析仪  1250A,台班,281.19
200212720250,信令监测仪  HP37741A,台班,86.35
200212730050,逻辑分析仪  TEK1230C16,台班,53.72
200212730100,逻辑分析仪  HP-1651B,台班,113.13
200212730150,逻辑分析仪  HP-1662A,台班,213.95
200212730200,逻辑分析仪  HP-1663A,台班,148.4
200212730250,逻辑分析仪  HP-1664A,台班,113.36
200212730300,逻辑分析仪  HP1615B,台班,133.81
200212730350,逻辑分析仪  HP1654B,台班,238.87
200212730400,逻辑分析仪  K20,台班,84.3
200212730450,逻辑分析仪  TEK1230C32,台班,92.48
200212730500,逻辑分析仪  TEK3001MPX,台班,292.7
200212730550,逻辑分析仪  TEK1230C48,台班,120.47
200212730600,逻辑分析仪  TEK1230 C64,台班,144.14
200212730650,逻辑分析仪  TEK1230D32,台班,146.3
200212730700,逻辑分析仪  TEK1230D48,台班,172.13
200212730750,逻辑分析仪  TA2160,台班,41.24
200212730800,逻辑分析仪  SL-4,台班,19.71
200212730850,逻辑分析仪  XJ4530,台班,33.05
200212730900,逻辑分析仪  YM4511,台班,21.64
200212730950,逻辑分析仪  HP1630,台班,165.41
200212731000,逻辑分析仪  HP1650B,台班,254.37
200212731050,逻辑分析仪  DLG7050,台班,48.77
200212731100,逻辑电路分析仪  BA1610,台班,69.15
200212731150,双通道逻辑分析仪  2035,台班,114.87
200212630050,测振仪  GZ-6,台班,10.16
200212630100,低频测振仪放大器  GZ-58,台班,9.08
200212630150,袖珍手持测振仪  VM64,台班,24.15
200212630200,六字测振仪  BZ-2A,台班,8.0
200212630250,数字测振仪  BZ-8701,台班,7.36
200212630300,冲击测量仪  D3610Ⅱ-3,台班,26.31
200212630350,正弦振动测试仪  D3610Ⅲ/ZF,台班,26.31
200212630400,振动测量仪  D36-2/ZF,台班,69.36
200212630450,加速度计  BK432,台班,11.46
200212630500,最平记录仪  BK2307,台班,33.99
200212630550,磁带记录仪  BK7005,台班,151.83
200212650050,云图接收设备  天线馈源,台班,15.65
200212650100,测试接收机  HP8902A,台班,1116.29
200212650150,微波测试接收机  RS12E,台班,27.18
200212650200,载波机综合测试仪  HU2,台班,4.58
200212650250,载波机综合测试仪  GY5110A,台班,15.49
200212650300,电力载波自动测试仪  GTC-1,台班,22.57
200212650350,无线电台综合测试仪  2955B,台班,212.48
200212650400,无线电台综合测试仪  HP8920A,台班,300.14
200212650450,无线电台综合测试仪  4015 0.4～1000MHz(包括主机和配件),台班,229.41
200212650500,移动电台综合测试仪  4015 0.4～1000MHz(主机),台班,192.49
200212650550,移动电台综合测试仪  4015 (必配件1：2360BIEEE-488/KS232),台班,9.03
200212650600,移动电台综合测试仪  4015 (必配件2：229038双工调制器),台班,21.96
200212650650,移动电台综合测试仪  4015 (选件1：236016数据模块)DATA,台班,19.49
200212650700,移动电台综合测试仪  4015 (选件2：248171双音多频模块)DTMF,台班,5.88
200212650750,移动电台综合测试仪  4015 (选件3：897971蜂窝电路软件),台班,10.72
200212650800,移动电台综合测试仪  4015 (选件4：897983集群电话软件1327),台班,10.57
200212650850,移动电台综合测试仪  4015 (选件5：897981机测试软件NRZ),台班,7.5
200212650900,电台综合测试仪  CMS52,台班,249.39
200212650950,电台综合测试仪  MS555B,台班,260.16
200212651000,单边带综合测试仪  ZCD-2B 测单边带通讯机的互调失真频率,台班,30.41
200212651050,单边带综合测试仪  NW5460TV,台班,34.11
200212651100,单边带综合测试仪  ZCD-2B 测量单边带机的互调失真载漏频率,台班,30.41
200212651150,单边带综合测试仪  TCP-733,台班,15.65
200212460100,对讲机  C15,台班,3.62
200212460150,对讲机  FS6712,台班,3.34
200212460200,对讲机  健伍,台班,5.65
200212651200,天线波瓣测试仪  DTB-12,台班,27.95
200212651250,微波系统分析仪  ME538K,台班,46.4
200212651300,微波系统分析仪  ME543K,台班,398.56
200212651350,同轴宽带检波器  YM1031SMA,台班,3.34
200212651400,微波中继测试仪  ME717C,台班,378.57
200212651450,8cm固态源  GHD1142,台班,10.42
200212651500,集群测试仪  CMC-50,台班,194.04
200212740050,3cm测量线  DH3630,台班,32.56
200212740100,7cm测量线  DH3633,台班,8.88
200212740150,8cm测量线  DH3631,台班,8.84
200212740200,8cm测量线  TC23,台班,9.31
200212740250,2cm测量线  TC25,台班,8.56
200212740300,2cm波导测量线  QH3641,台班,5.56
200212740350,2.5cm波导测量线  QH3641,台班,5.56
200212740400,3cm波导测量线  QH3639,台班,5.56
200212740450,3cm测量线  TC26,台班,8.13
200212740500,大3cm波导测量线  QH3638,台班,5.56
200212740550,4cm波导测量线  QH3637,台班,6.25
200212740600,5cm波导测量线  QH3636,台班,6.25
200212740650,5cm波导测量线  QH3635,台班,6.25
200212740700,7.5cm波导测量线  QH3634,台班,7.22
200212740750,10cm波导测量线  QH3633,台班,18.93
200212740800,12cm波导测量线  QH3632,台班,23.01
200212740850,15cm波导测量线  QH3631,台班,40.74
200212740900,波导测量线  CLX-6,台班,4.58
200212740950,2cm波导元件  QH13211T,台班,25.96
200212741000,2.5cm波导元件  QH13210T,台班,22.4
200212741050,3cm波导元件  QH13209T,台班,23.2
200212741100,大3cm波导元件  QH13208T,台班,27.48
200212741150,3cm波导元件  BD-1,台班,20.33
200212741200,4cm波导元件  QH13207T,台班,33.28
200212741250,5cm波导元件  QH13206T,台班,28.24
200212741300,7.5cm波导元件  QH13204T,台班,38.52
200212741350,8cm波导元件  QH13215T,台班,19.35
200212741400,10cm波导元件  QH13203T,台班,44.71
200212741450,15cm波导元件  QH13201T,台班,90.73
200212750050,精密衰减器  YX51432,台班,5.69
200212750100,精密衰减器  YX-5144,台班,5.69
200212750150,精密衰减器  YX-5141,台班,5.86
200212750200,精密衰减器  YX-5142,台班,5.65
200212750250,精密衰减器  YX-5143,台班,5.69
200212750300,精密衰减器  GH3711,台班,6.3
200212750350,标准衰减器  QF3712,台班,6.62
200212750400,标准衰减器  QF3110C,台班,4.58
200212750450,标准衰减器  SH2,台班,4.58
200212750500,标准衰减器  QF3711,台班,4.58
200212750550,标准衰减器  QF3710,台班,4.58
200212750600,标准衰减器  TO32,台班,7.91
200212750650,衰耗器(不平衡)  8KH-15,台班,6.51
200212750700,衰耗器(不平衡)  SHK-16,台班,6.51
200212750750,衰耗器(不平衡)  SHK-20,台班,5.86
200212750800,衰耗器(不平衡)  SHK-21,台班,5.86
200212750850,步进衰减器  QF11502,台班,4.58
200212750900,步进衰减器  TTS-9,台班,7.38
200212750950,同轴步进衰减器  CH3710,台班,7.59
200212751000,可变式衰减器  SHK-3,台班,12.11
200212751050,可变式衰减器  SHK-4,台班,12.11
200212751100,可变衰减器  TO32,台班,6.72
200212751150,精密直读极化衰减器  QH3713,台班,36.19
200212751200,精密直读极化衰减器  QH3714,台班,20.38
200212751250,精密直读极化衰减器  QH3715,台班,15.84
200212751300,精密直读极化衰减器  QH3716,台班,15.84
200212751350,精密直读极化衰减器  QH3717,台班,15.84
200212751400,精密直读极化衰减器  QH3718,台班,13.45
200212751450,精密直读极化衰减器  QH3719,台班,13.45
200212751500,精密直读极化衰减器  QH3720,台班,13.45
200212751550,精密直读极化衰减器  QH3721,台班,13.45
200212751600,截止式衰减器  SHJ-1,台班,4.58
200212751650,1cm精密衰减器  YM3721,台班,9.75
200212751700,2cm精密衰减器  TS9,台班,7.38
200212751750,3cm精密衰减器  TS7,台班,7.38
200212751800,8cm精密衰减器  CH12951,台班,8.67
200212751850,衰减校正装置  GH3701,台班,169.92
200212751900,平衡阻抗测试仪  ZK-1,台班,12.11
200212760050,误码分析仪  CE2005,台班,21.8
200212760100,误码分析仪  CE2205,台班,39.74
200212760150,误码分析仪  CE2305/B,台班,59.48
200212760200,误码率测试仪  ME448A,台班,105.22
200212760250,误码分析仪  ME448A/B,台班,63.06
200212760300,误码率测试仪  BER-1,台班,39.02
200212760350,一、二、三次群误码仪  QWM04A,台班,63.06
200212760400,一、二、三次群误码仪  QWM04B,台班,32.56
200212760450,一二三四次群误码仪  QWM05A,台班,81.01
200212760500,PCM二次群误码仪  JH5220,台班,35.25
200212760550,64KB/s数据误码仪  QWM04D,台班,32.56
200212760600,误码抖动测试仪  AV5231,台班,107.92
200212702150,PCM二次相位抖动仪  JH5230,台班,70.24
200212702200,1～3次群相位抖动仪  QXD01,台班,104.32
200212751950,串音衰减测试器  S121,台班,21.8
200212752000,点频串音衰减测试器  S21,台班,9.24
200212651550,线路信号测试仪  XJ-02,台班,54.09
200212651600,话路测试仪  CE1301,台班,37.18
200212651650,话路测试仪  HU19,台班,24.87
200212651700,话路传输测试仪  JH5110,台班,2.96
200212651750,话路综合测试仪  HF5160,台班,21.8
200212651800,话路特性测试仪  HU14/M1/M2,台班,29.03
200212651850,PCM话路特性测试仪  GY5210,台班,15.19
200212651900,PCM话路测试仪  JH5210,台班,17.18
200212651950,PCM综合测试仪  HF5160,台班,22.57
200212652000,话路信令测试仪  CE3101,台班,13.49
200212652050,电话分析仪  AT2500,台班,45.63
200212652100,话路选择器  HZ-1,台班,23.34
200212652150,市话线路故障测量仪  SY-01,台班,7.66
200212652200,数据传输分析仪  SCG-01,台班,123.29
200212652250,数据传输分析仪  AV521,台班,105.61
200212652300,数据传输分析仪  ME520B,台班,377.03
200212652350,数据传输分析仪  SCJ-01,台班,123.29
200212652400,电平传输分析仪  HF511,台班,13.19
200212652450,数字传输分析仪  HP37721,台班,150.98
200212652500,PCM三次群传输分析仪  JH5222,台班,61.02
200212652550,电平传输分析仪  HF512,台班,4.11
200212652600,电平传输分析仪  HF5110,台班,21.8
200212652650,电平传输分析仪  HF5111,台班,13.19
200212652700,电平传输分析仪  HF5112,台班,21.03
200212652750,传输分析仪  JH5112,台班,4.11
200212653500,网络分析仪  HP8410C,台班,290.92
200212653550,网络分析仪  HP8752A,台班,448.79
200212653600,网络分析仪  HP8754A,台班,359.09
200212653650,微波网络分析仪  HW1,台班,191.52
200212653700,微波网络分析仪  HW1M1,台班,17.76
200212653750,微波网络分析仪  HW1 同轴附件,台班,7.45
200212653800,微波网络分析仪  HW1M2,台班,27.18
200212653850,微波网络分析仪  HW1M21,台班,13.19
200212653900,微波网络分析仪  HW1M3,台班,11.93
200212653950,微波网络分析仪  HW1M31,台班,7.8
200212654000,微波网络分析仪  HW1M33,台班,5.46
200212654050,微波网络分析仪  HW1M34,台班,5.46
200212654100,微波网络分析仪  HW1M4,台班,11.93
200212654150,微波网络分析仪波导  HW1M10,台班,17.64
200212654200,微波网络分析仪分机  HW1M5,台班,27.18
200212654250,微波网络分析仪波导  HW1M11,台班,12.9
200212654300,微波网络分析仪波导  HW1M12,台班,13.29
200212654350,微波网络仪同轴附件  HW1M20,台班,35.8
200212654400,微波网络仪同轴附件  HW1M30,台班,38.84
200212770050,雷达综合测试仪  ZCL-11,台班,12.37
200212770100,雷达综合测试仪  HL-12B,台班,46.4
200212770150,雷达综合测试仪  HL2,台班,28.72
200212770200,3cm雷达综合测试仪  DH4981,台班,26.42
200212770250,5cm雷达综合测试仪  HL6A,台班,14.27
200212770300,10cm雷达综合测试仪  ZCL10B,台班,8.58
200212770350,10cm雷达综合测试仪  HL-18A,台班,30.26
200212770400,3cm雷达综合测试仪  ZCL-11,台班,26.42
200212770450,云图接收设备  ZY-1,台班,4.42
200212770500,炮兵罗盘  五八式,台班,6.82
200212770550,测角仪  32J,台班,66.71
200212770600,测距仪,台班,64.98
200212780050,电平表  HP788C,台班,4.09
200212780100,选频电平表  UD-19,台班,11.13
200212780150,选频电平表  UD20C,台班,11.13
200212780200,选频电平表  UD22,台班,6.37
200212780250,选频电平表  UD25,台班,16.52
200212780300,选频电平表  HF5012,台班,7.14
200212780350,选频电平表  HF5013,台班,8.06
200212780400,选频电平表  HF5016,台班,4.99
200212780450,选频电平表  YX-5011,台班,9.44
200212780500,选频电平表  YX-5013,台班,7.44
200212780550,选频电平表  YX-5021,台班,23.13
200212780600,选频电平表  JH5011,台班,7.6
200212780650,选频电平表  JH5013,台班,8.06
200212780700,选频电平表  JH5014,台班,8.98
200212780750,选频电平表  JH5018,台班,9.59
200212780800,选频电平表  JH5019,台班,8.37
200212780850,选频电平表  JH5020,台班,30.36
200212780900,选频电平表  JH5021,台班,17.28
200212780950,标准电平表  JH5000,台班,8.83
200212462000,步话机  ZXX,台班,4.37
200212790050,电平振荡器  HF5062,台班,8.88
200212790100,电平振荡器  HF5063,台班,9.96
200212790150,电平振荡器  HF5064,台班,10.61
200212790200,电平振荡器  HF5065,台班,13.62
200212790250,电平振荡器  HF5066,台班,11.03
200212790300,电平振荡器  HF5067,台班,11.03
200212790350,电平振荡器  HF5068,台班,10.17
200212790400,电平振荡器  HF5070,台班,36.88
200212790450,电平振荡器  JF5061,台班,9.75
200212790500,电平振荡器  JF5063,台班,9.75
200212790550,电平振荡器  JF5064/01,台班,10.39
200212790600,电平振荡器  JF5066,台班,12.32
200212790650,电平振荡器  JF5068,台班,10.17
200212790700,电平振荡器  JF5070,台班,3.93
200212790750,电平振荡器  UX18,台班,8.67
200212790800,电平振荡器  HF5071,台班,21.78
200212790850,电平振荡器  UX-15,台班,12.32
200212790900,电平振荡器  UX16C,台班,14.27
200212790950,电平振荡器  UX20,台班,20.73
200212791000,电平振荡器  YX-5071,台班,20.51
200212791050,载波振荡器  DZ-4F,台班,17.92
200212791100,合成电平振荡器  MG443B,台班,161.74
200212800050,电缆测试仪  JH5132,台班,9.34
200212800100,电缆测试仪  TEK1503C,台班,129.45
200212800150,电缆故障仪  JH5130,台班,5.65
200212800200,通路测试仪  MS371A,台班,381.65
200212800250,电缆闪络测距仪  DJC-5,台班,15.35
200212800300,电缆故障测距仪  DJC-2,台班,15.41
200212800350,电缆故障测距仪  DGC-711C,台班,27.64
200212800400,电缆故障测距仪  DGC-711E,台班,45.18
200212800450,电缆故障测距仪  DGC-711G,台班,45.63
200212800500,电缆故障测距仪  UG2,台班,6.27
200212800550,电缆故障测距仪  HF5130,台班,10.27
200212800600,通讯电缆测距仪  QS35,台班,18.73
200212800650,LCD电缆故障测试仪  HT001,台班,44.1
200212800700,电缆对地绝缘探测仪  LJ-1A,台班,3.2
200212800750,电缆故障探测装置  DTC-2B,台班,5.65
200212810050,时统设备  CJ-Ⅱ,台班,107.92
200212810100,数字用户监测仪  YJ-Ⅱ,台班,28.25
200212810150,无线电码分析仪  4923,台班,161.74
200212810200,经纬仪  TDJ2,台班,9.57
200212810250,经纬仪  010B,台班,52.26
200212810300,水准仪  NA2,台班,23.52
200212810350,8mm微波辐射计  RS16,台班,64.42
200212810400,1.35cm微波辐射计  DH280,台班,77.77
200212810450,6mm微波辐射计  DH283,台班,129.45
200212810500,微波辐射计  DH280,台班,75.62
200212820050,微机软盘测试仪  FD-180,台班,133.52
200212820100,微机硬盘测试仪  HD-260,台班,133.52
200212820150,微机光盘测试仪,台班,84.91
200212820200,存储器测试仪  LST-6400,台班,38.01
200212820250,存储器测试系统  GH316220A,台班,53.84
200212820300,微处理机功能测试仪  GH3161,台班,63.38
200212820350,计算机测试系统  CAD-CAT,台班,64.6
200212820400,微机故障诊断系统  HD-Ⅲ,台班,11.03
200212820450,软件  HP-34810A,台班,6.31
200212820500,软件  HP-34811A,台班,6.31
200212820550,软件  HP-34812A,台班,3.29
200212820600,软件  HP-34820A,台班,8.38
200212820650,标量网络分析仪  AV3611,台班,93.58
200212820700,协议分析仪  HP4945A,台班,176.2
200212820750,双绞线测试仪  LANCATV,台班,37.8
200212820800,单片机开发器  DSG-51-5A,台班,6.38
200212820850,数字化仪  CD-91200,台班,27.19
200212820900,动态故障测试仪  900,台班,206.6
200212820950,编程器  SPRG,台班,26.88
200212821000,编程器  LERDER-160,台班,276.95
200212821050,编程器  PG730,台班,149.19
200212821100,编程器  IBM-456,台班,33.47
200212821150,激光打印机  HP A4,台班,6.2
200212821200,激光打印机  HP A3,台班,28.08
200212821250,激光打印机  HP ColorA4,台班,51.41
200212821300,激光打印机  HP ColorA3,台班,152.77
200212821350,打印机  24针,台班,5.02
200212821400,喷墨打印机  HP ColorA3,台班,6.83
200212821450,接线标号打印机  LM-3501,台班,16.43
200212821500,网络测试仪  FWKE,台班,93.6
200212830050,电视信号发生器  XT-14B,台班,4.68
200212830100,电视信号发生器  DC3500,台班,5.75
200212830150,电视信号发生器  PD5283,台班,4.21
200212830200,电视信号发生器  XT-14D,台班,5.6
200212830250,彩色信号发生器  8160N,台班,3.44
200212830300,彩色信号发生器  8160P,台班,3.44
200212830350,彩色信号发生器  CC5365,台班,38.81
200212830400,彩色信号发生器  S305A,台班,6.29
200212830450,数字彩色信号发生器  CC5362,台班,43.43
200212830500,电视通道发生器  CC5310A,台班,28.05
200212830550,电视通道发生器  CC5310B,台班,33.59
200212830600,电视通道发生器  CC5310C,台班,36.35
200212830650,电视通道发生器  CC5311A,台班,28.05
200212830700,电视通道发生器  CC5311B,台班,33.59
200212830750,电视通道发生器  CC5311C,台班,36.35
200212830800,卫星电视信号发生器  CC5363,台班,12.52
200212830850,多功能彩色发生器  8190C,台班,13.9
200212830900,电视图像信号发生器  VS12,台班,14.98
200212830950,中频三信号发生器  VS23,台班,8.06
200212831000,彩色图像发生器  CPG1367A,台班,4.83
200212831050,彩色图像发生器  PG3500,台班,5.75
200212831100,图像信号发生器  VS14C,台班,5.29
200212831150,彩色图像信号发生器  QF5362A,台班,3.68
200212831200,图像中频扫频发生器  S306,台班,3.6
200212831250,视频扫频信号发生器  S307,台班,3.44
200212831300,伴音中频扫频发生器  S308,台班,3.44
200212831350,扫频及中频发生器  XSQ-9,台班,5.44
200212831400,VHF/IF扫频发生器  XSQ-14A,台班,6.44
200212831450,电视测试信号发生器  CC5361,台班,44.97
200212831500,电视测试信号发生器  CC5361A,台班,44.97
200212831550,电视测试信号发生器  XT-16A,台班,32.66
200212831600,彩色测试卡发生器  AS5372,台班,29.59
200212831650,彩色测试图发生器  CC5360,台班,40.36
200212831700,彩色同步编码发生器  S302,台班,13.9
200212831750,全功能信号发生器  PM-5518,台班,69.58
200212831800,矢量示波器  DC-5430,台班,4.4
200212831850,矢量示波器  XJ5430,台班,16.77
200212831900,选行/矢量示波器  XJ5431,台班,33.99
200212831950,彩色增益延时测试仪  VS15,台班,16.42
200212832000,自动视频测试仪  CC5331,台班,41.54
200212832050,电视综合测试仪  DC5460,台班,41.54
200212832100,电视维修仪器  YB5471,台班,5.3
200212832150,电视中频调制器  VS17A,台班,39.74
200212832200,电视中频调制器  VS17B,台班,47.64
200212832250,电视中频调制器  VS17C,台班,51.58
200212832300,电视功率放大器  CC3861A,台班,25.39
200212832350,电视功率放大器  CC3861B,台班,30.41
200212832400,电视功率放大器  CC3861C,台班,32.92
200212832450,视频数字电平表  VS16,台班,14.62
200212832500,视音频分配放大器  VS9B,台班,6.01
200212832550,波形监视器  CC5440,台班,29.33
200212832600,黑白监视器  12″,台班,4.22
200212832650,彩色监视器  14″,台班,27.18
200212832700,录像机  HD80,台班,7.45
200212832750,电视场强计  LFC944D,台班,11.93
200212832800,电视场强计  LFC951,台班,28.07
200212832850,电视扫频仪  NW5312A,台班,12.83
200212832900,电视扫频仪  XSQ-4A,台班,7.8
