商品编号,商品名称,本期销量,实际销售
210986.0,葵花薄饼,0.444,14.0
830307.0,溢湘斋桂花糖礼盒200g,1.0,13.9
634298.0,鲢鱼(C),1.458,13.9
830309.0,溢湘斋寸金糖礼盒200g,1.0,13.9
885395.0,八角50g(C),2.0,13.8
164539.0,芝麻条,2.0,13.8
706818.0,贵妃枣200g（C）,2.0,13.8
885388.0,三香海椒面100g(C),2.0,13.8
830295.0,溢湘斋袋装黑白焦切500,1.0,13.8
914282.0,精品土鸡蛋（盒）,1.0,13.8
639287.0,花生酥(C),0.634,13.8
878772.0,卤百叶(C),0.706,13.7
899317.0,九香居黑芝麻油165ml(C),1.0,13.6
650043.0,农户乡里土鸡蛋12枚,1.0,13.6
125782.0,大葱,2.776,13.6
278480.0,唐人神大众月季香肠,0.136,13.5
638269.0,精品红萝卜(C),1.942,13.28
648229.0,腰豆（C）,0.86,13.3
911796.0,广益康筒子骨(C),0.352,13.3
648188.0,精品粉（C）,0.754,13.2
680658.0,大目咸鱼（C）,0.336,13.2
639638.0,卷麻花（C）,0.554,13.1
857354.0,大自然蕨菜（250g）,2.0,13.0
878749.0,上海香干(C),0.672,13.0
857342.0,老舵清水蕨菜(400g),2.0,13.0
706813.0,黄河油小米500g（C）,1.0,12.9
639674.0,花根（C）,0.738,12.9
706803.0,黑香米500g（C）,1.0,12.9
878761.0,豆笋(C),0.596,12.7
107646.0,人参果(C),0.724,12.6
132614.0,草果(C),0.062,12.2
773331.0,卤鸭肫(C),0.17,12.1
857332.0,大自然冬笋(230g）,2.0,12.0
878763.0,原磨豆浆(C),8.0,12.0
574900.0,大王黄豆450g（C）,1.0,11.78
749311.0,红皮花生400g（C),1.0,11.9
749310.0,雪豆400g（C),1.0,11.9
706778.0,红砂糖250g（C）,2.0,11.8
234156.0,胡椒面,0.078,11.7
890115.0,干海椒40g(C),3.0,11.7
878769.0,精品香干(C),0.696,11.6
911776.0,广益康肥膘(C),0.446,11.5
757732.0,精品豌豆仁(C),0.824,11.4
900902.0,湘佳鸡肝（C）,0.732,11.3
70506.0,红苞菜,1.428,11.3
878755.0,魔芋豆腐（C）,2.874,11.11
348017.0,大桂圆干(C),0.352,11.1
639678.0,小杏子干（C）,0.468,11.0
470561.0,牛奶吐司,2.0,11.0
451192.0,香梨(C),0.79,11.0
136842.0,神丹茶香鹌鹑蛋6枚,3.0,10.8
604836.0,小米(C),1.368,10.7
707729.0,卤猪心（C）,0.18,10.7
639310.0,锅巴（C）,0.61,10.6
123165.0,鸡骨架,1.342,10.6
583854.0,水晶鸭梨(C),1.32,10.4
682064.0,肉松甜甜圈,10.0,10.0
350774.0,烤鸡中翅(C),4.0,10.0
15533.0,鸡胗,0.268,10.0
632411.0,鸭脖,0.38,9.8
857358.0,大自然玉米(200g),2.0,9.8
142684.0,玉米粉(C),1.02,9.7
638812.0,精品洋葱(C),1.662,9.7
239630.0,鸡边腿,0.556,9.7
757717.0,精品生菜(C),0.816,9.6
638245.0,精品淮山（C）,0.804,9.6
733890.0,麒麟西瓜（C）,2.448,9.6
645734.0,燕麦片（C）,1.012,9.5
125788.0,花菜,1.864,9.5
900894.0,湘佳鲜鸡壳（C）,0.704,9.5
131290.0,百合(C),0.08,9.5
918697.0,黑木耳（自营）,0.24,9.4
639317.0,杏子干(C),0.43,9.27
348310.0,当归头(C),0.038,9.0
757727.0,精品猪肚菇(C),0.002,8.92
639320.0,花根(C),0.508,8.9
70556.0,红薯,2.88,8.9
706812.0,糯小米500g（C）,1.0,8.9
830304.0,溢湘斋桃仁糕礼盒200g,1.0,8.9
704787.0,新竹米粉(C),0.772,8.8
914284.0,精品白壳鲜鸡蛋（盒）,1.0,8.8
885396.0,香叶15g(C),3.0,8.7
816855.0,调味香蕉（C),0.304,8.5
772026.0,哈利(C),0.358,8.4
639653.0,瓜仁蛋薄脆（C）,0.352,8.3
310597.0,青花椒(C),0.046,8.2
679795.0,红椰子(C),1.0,8.0
650048.0,农户土鸡蛋8枚,1.0,8.0
272080.0,精品洋葱,0.67,8.0
909279.0,盐水鸭心（C）,0.138,7.9
706822.0,糯米500g（C）,1.0,7.9
574910.0,杂粮八宝粥400g（C）,1.0,7.9
885390.0,胡椒面50g(C),1.0,7.9
885389.0,花椒面40g(C),1.0,7.9
830280.0,溢湘斋袋装绿豆糕250g,1.0,7.8
890116.0,桂皮25g(C),2.0,7.8
131747.0,三奈(C),0.066,7.8
895556.0,干果杂粮面包,1.0,7.8
136841.0,神丹鹌鹑蛋8枚,2.0,7.8
859672.0,优质鸡小腿,0.264,7.8
639641.0,麻圆（C）,0.32,7.6
403329.0,精品紫苞菜,0.764,7.6
648182.0,红芸豆（C）,0.49,7.5
900893.0,湘佳鲜鸡脚（C）,0.21,7.4
604830.0,高粱米(C),0.784,7.4
851838.0,特级水晶红富士75#折价,1.858,7.4
816848.0,红曲鱼（C),0.282,7.3
648139.0,龙口粉（包装)（C）,0.708,7.0
859702.0,维也纳,2.0,7.0
638285.0,精品西芹(C),0.71,7.0
909349.0,快熟高纤燕麦粥200（C）,1.0,6.9
648196.0,萝卜条（C）,0.512,6.9
706771.0,快餐燕麦片400g（C）,1.0,6.9
834318.0,豌豆芡粉（C）,1.0,6.9
645691.0,芡实粉（C）,0.001,6.9
795613.0,枸杞50g（C）,1.0,6.9
821596.0,白果滋养土鸡汤料100g（C）,1.0,6.9
131630.0,提子蛋糕,1.0,6.8
682058.0,水果布丁杯,1.0,6.8
772059.0,水发海蜇,0.214,6.7
621270.0,朝天椒(C),0.162,6.7
857327.0,大自然蘑菇(250g）,1.0,6.5
857331.0,大自然笋片(250g）,1.0,6.5
684381.0,南北特茴饼,4.0,6.4
904585.0,调味小米椒(c),0.238,6.4
641805.0,调味鸡肉片（C),0.188,6.3
907896.0,花生宝典（C）,0.24,6.1
857334.0,大自然春笋(230g）,1.0,6.0
772018.0,毛叶鱼(C),0.118,6.0
857353.0,老舵香辣萝卜(150g),1.0,5.9
885399.0,孜然粉50g(C),1.0,5.9
706350.0,银丝卷（C）,1.0,5.8
911773.0,广益康猪舌(C),0.15,5.8
309542.0,5.8元系列（配菜）,1.0,5.8
122587.0,红茄子,1.062,5.6
314033.0,精品娃娃菜,0.628,5.5
671865.0,南北特对装法饼100g,3.0,5.4
514164.0,神丹鹌鹑蛋麻辣味3枚,3.0,5.4
124685.0,牛蒡,0.386,5.3
857355.0,大自然莲藕（250g）,1.0,5.2
125760.0,洋葱,0.878,5.2
623621.0,土豆丝饼（C),2.0,5.0
667998.0,带叶脐橙(C),0.508,5.0
638291.0,精品大葱(C),0.482,4.8
375514.0,精品小瓜,0.404,4.8
913157.0,精品白砂糖,0.47,4.6
142632.0,荞麦粉(C),0.474,4.5
403333.0,精品京苞菜,0.574,4.5
125738.0,芥兰,0.36,4.3
375699.0,鸭边腿,0.278,4.3
375534.0,精品黑茄子,0.308,3.6
454797.0,精品长白菜,0.468,3.2
857301.0,2.8元系列（配菜）,1.0,2.8
638271.0,精品土豆(C),0.264,2.1
623625.0,肉夹馍（C),1.0,2.0
878756.0,明皮豆腐(C),0.424,1.7
625205.0,艾草,0.586,0.8
309540.0,11.8元系列（配菜）,0.0,0.0
125758.0,蒜头,0.0,0.0
412048.0,优质猪手,0.0,0.0
70480.0,西兰花,0.0,0.0
126442.0,香麦菜,0.0,0.0
108767.0,紫贝菜,0.0,0.0
,,27199.113,98418.3
