名称,型号,单位,数值
热轧扁钢,－200×20,kg/m,31.4
热轧扁钢,－200×22,kg/m,34.539
热轧扁钢,－200×25,kg/m,39.25
热轧扁钢,－200×28,kg/m,43.96
热轧扁钢,－200×30,kg/m,47.1
热轧扁钢,－200×32,kg/m,50.24
热轧扁钢,－200×36,kg/m,56.52
热轧扁钢,－200×40,kg/m,62.8
热轧扁钢,－200×45,kg/m,70.65
热轧扁钢,－200×50,kg/m,78.5
热轧扁钢,－200×56,kg/m,87.92
热轧扁钢,－200×60,kg/m,94.2
