任务名称,资源名称,工时完成百分比,工时,单位
示范区场景布置方案,营销部,0%,240 工时,100%
示范区场景营造,营销部,0%,240 工时,100%
售楼处移交,营销部,0%,40 工时,100%
售楼处、样板房物料布置,营销部,0%,120 工时,100%
售楼处合同打印设备购置,营销部,0%,16 工时,100%
售楼处设备采购,营销部,0%,80 工时,100%
售楼处设备设施布置,营销部,0%,16 工时,100%
售楼处推广物料布置,营销部,0%,16 工时,100%
编制售楼处、样板房管理办法,营销部,0%,96 工时,100%
编制售楼处、样板房接待流程,营销部,0%,96 工时,100%
物业服务人员到位,营销部,0%,24 工时,100%
物业公司招投标和物业前期资料准备,总经理,0%,480 工时,100%
营销策略方案,营销部,0%,"2,232 工时",100%
广告公司选择,营销部,0%,240 工时,100%
确定整体推广策略方案,营销部,0%,200 工时,100%
营销渠道的拓展与整合,营销部,0%,720 工时,100%
确定案名、宣传语和标识,营销部,0%,160 工时,100%
确定系列报广、户外广告,营销部,0%,160 工时,100%
制订（预热期）媒体计划,营销部,0%,160 工时,100%
制订（强销期、持续期）媒体计划,营销部,0%,80 工时,100%
道具准备,营销部,0%,"2,760 工时",100%
基础资料,营销部,0%,"2,760 工时",100%
绘制效果图,营销部,0%,488 工时,100%
提供拼合前后的户型家具配置图,研发部,0%,8 工时,100%
效果图风格确定,营销部,0%,80 工时,100%
效果图渲染,营销部,0%,240 工时,100%
样板区、样板房拍摄,营销部,0%,168 工时,100%
样板区、样板房拍摄方案,营销部,0%,40 工时,100%
样板区样板房拍摄,营销部,0%,120 工时,100%
地图,营销部,0%,456 工时,100%
地图信息采集,营销部,0%,80 工时,100%
地图绘制,营销部,0%,80 工时,100%
销售公示资料,营销部,0%,360 工时,100%
公示证照,营销部,0%,56 工时,100%
《预售/销售合同配置标准》,营销部,0%,56 工时,100%
《预售/销售合同附图》,营销部,0%,56 工时,100%
《定金合同范本》,营销部,0%,56 工时,100%
《预售/出售合同范本》,营销部,0%,56 工时,100%
《预售/出售合同补充协议》,营销部,0%,56 工时,100%
《购房流程》,营销部,0%,8 工时,100%
《购房须知》和《付款须知》,营销部,0%,240 工时,100%
《风险公示》,营销部,0%,240 工时,100%
公示版、公示架制作,营销部,0%,80 工时,100%
网站制作和发布,营销部,0%,688 工时,100%
准备相关图片及文字,营销部,0%,80 工时,100%
网站制作公司确定,营销部,0%,160 工时,100%
确定网站总体内容框架,营销部,0%,40 工时,100%
确定网站风格,营销部,0%,120 工时,100%
页面设计并搭建网站,营销部,0%,240 工时,100%
网站上线,营销部,0%,8 工时,100%
多媒体制作,营销部,0%,544 工时,100%
多媒体概念方案设计,营销部,0%,240 工时,100%
多媒体设计完成,营销部,0%,240 工时,100%
多媒体批量制作,营销部,0%,56 工时,100%
影视,营销部,0%,480 工时,100%
影视脚本设计,营销部,0%,240 工时,100%
影视制作,营销部,0%,240 工时,100%
文本资料,营销部,0%,"2,280 工时",100%
房型图设计和制作,营销部,0%,304 工时,100%
户型图内部会签确认,营销部,0%,40 工时,100%
户型图印刷页设计,营销部,0%,208 工时,100%
印刷完成,营销部,0%,40 工时,100%
海报（简易楼书）设计制作,营销部,0%,472 工时,100%
海报（简易楼书）概念方案设计,营销部,0%,160 工时,100%
海报（简易楼书）所列产品标准会签确认,营销部,0%,40 工时,100%
海报（简易楼书）设计完成,营销部,0%,208 工时,100%
海报（简易楼书）印刷完成,营销部,0%,40 工时,100%
楼书设计制作,营销部,0%,600 工时,100%
楼书概念方案设计,营销部,0%,240 工时,100%
楼书所列产品标准会签确认,营销部,0%,40 工时,100%
楼书设计完成,营销部,0%,240 工时,100%
楼书印刷完成,营销部,0%,56 工时,100%
购房须知编制、设计和制作,营销部,0%,568 工时,100%
购房须知编制,营销部,0%,160 工时,100%
购房须知编制会签确认,营销部,0%,40 工时,100%
购房须知设计完成,营销部,0%,240 工时,100%
购房须知印刷完成,营销部,0%,56 工时,100%
物料,营销部,0%,"1,720 工时",100%
模型,营销部,0%,"1,720 工时",100%
模型（外场售楼处）,营销部,0%,432 工时,100%
提供规划方案、景观方案及总平图、单体平立剖电子文件,研发部,0%,8 工时,100%
模型公司选择和方案沟通,营销部,0%,160 工时,100%
技术交底和监控,研发部,0%,280 工时,100%
制作和安装模型,营销部,0%,240 工时,100%
模型（现场售楼处）,营销部,0%,392 工时,100%
模型公司选择和方案沟通,营销部,0%,160 工时,100%
技术交底和监控,研发部,0%,240 工时,100%
制作和安装模型,营销部,0%,240 工时,100%
导示系统设计制作,营销部,0%,"1,616 工时",100%
外场售楼处导示系统设计制作,营销部,0%,328 工时,100%
外场售楼处导示系统布置方案,营销部,0%,80 工时,100%
外场售楼处导示系统设计制作,营销部,0%,240 工时,100%
现场售楼处、示范区导示系统设计制作,营销部,0%,648 工时,100%
现场售楼处、示范区导示系统布置方案,营销部,0%,240 工时,100%
现场售楼处、示范区导示系统设计制作,营销部,0%,400 工时,100%
置业顾问服装,营销部,0%,320 工时,100%
服装选择和厂家联络,营销部,0%,160 工时,100%
服装制作,营销部,0%,160 工时,100%
名片、胸牌,营销部,0%,208 工时,100%
名片、胸牌设计,营销部,0%,120 工时,100%
名片、胸牌制作制作,营销部,0%,80 工时,100%
广告推广,营销部,0%,"3,320 工时",100%
户外广告,营销部,0%,"4,960 工时",100%
周边道路指引牌,营销部,0%,"4,536 工时",100%
周边道路指引牌选址,营销部,0%,496 工时,100%
周边道路指引牌选址发布,营销部,0%,"3,800 工时",100%
关键交通路线户外布点,营销部,0%,"4,240 工时",100%
关键交通线路户外选址,营销部,0%,"1,200 工时",100%
关键交通线路户外选址发布,营销部,0%,"2,800 工时",100%
网络广告,营销部,0%,"3,600 工时",100%
网络广告位及时间点预订,营销部,0%,"3,600 工时",100%
网络广告设计及发布,营销部,0%,"3,360 工时",100%
报纸广告,营销部,0%,"2,640 工时",100%
报纸广告位及时间点预订,营销部,0%,"2,400 工时",100%
报纸设计及发布,营销部,0%,"2,400 工时",100%
杂志广告,营销部,0%,"3,920 工时",100%
杂志广告位及时间点预订,营销部,0%,"3,680 工时",100%
杂志广告设计及发布,营销部,0%,"3,680 工时",100%
电视广告,营销部,0%,"2,456 工时",100%
电视广告脚本创意及制作,营销部,0%,320 工时,100%
电视广告预订,营销部,0%,296 工时,100%
电视广告发布,营销部,0%,"2,000 工时",100%
电台广告,营销部,0%,"2,232 工时",100%
电台脚本创意及制作,营销部,0%,240 工时,100%
电台广告预订,营销部,0%,"1,760 工时",100%
电台广告发布,营销部,0%,"2,000 工时",100%
地址库广告,营销部,0%,"3,360 工时",100%
地址库选择和厂家联络,营销部,0%,"2,400 工时",100%
地址库广告发布,营销部,0%,"3,200 工时",100%
公关活动,营销部,0%,664 工时,100%
样板区开放活动,营销部,0%,392 工时,100%
活动主题及方案策划,营销部,0%,80 工时,100%
公关公司提案,营销部,0%,160 工时,100%
活动相关准备,营销部,0%,240 工时,100%
活动实施,营销部,0%,0 工时,100%
开盘活动,营销部,0%,664 工时,100%
活动主题及方案策划,营销部,0%,160 工时,100%
公关公司提案,营销部,0%,160 工时,100%
活动相关准备,营销部,0%,320 工时,100%
活动实施,营销部,0%,0 工时,100%
销售培训,营销部,0%,"1,896 工时",100%
置业顾问到位,营销部,0%,240 工时,100%
市场调查,营销部,0%,120 工时,100%
编制销售讲习,营销部,0%,"1,720 工时",100%
标准销售讲习,营销部,0%,240 工时,100%
房型说辞,营销部,0%,80 工时,100%
模型说辞,营销部,0%,40 工时,100%
示范区说辞,营销部,0%,80 工时,100%
参观动线方案,营销部,0%,40 工时,100%
销售培训,营销部,0%,480 工时,100%
销售配套机构确认,计财部,0%,440 工时,100%
贷款银行的选择和确认,计财部,0%,400 工时,100%
贷款银行培训,计财部,0%,24 工时,100%
公证处的选择和确认,计财部,0%,160 工时,100%
公证处培训,计财部,0%,8 工时,100%
公开,营销部,0%,"1,520 工时",100%
亮相,营销部,0%,0 工时,100%
外场售楼处开放,营销部,0%,8 工时,100%
现场售楼处开放,营销部,0%,8 工时,100%
现场示范区开放,营销部,0%,8 工时,100%
预售许可证办理,营销部,0%,"3,568 工时",100%
领取企业密钥,营销部,0%,240 工时,100%
地名申请,营销部,0%,240 工时,100%
门牌号码申请,营销部,0%,240 工时,100%
新开工登记,营销部,0%,240 工时,100%
企业认证,营销部,0%,240 工时,100%
项目认证,营销部,0%,240 工时,100%
测绘,营销部,0%,480 工时,100%
施工计划申报,工程部,0%,8 工时,100%
施工计划批复,工程部,0%,8 工时,100%
配套计划申报,工程部,0%,8 工时,100%
配套计划批复,工程部,0%,8 工时,100%
申请（示范区）预售许可证预售许可证,营销部,0%,616 工时,100%
现场鉴证报告（示范区）,营销部,0%,24 工时,100%
上海市商品房预售项目情况表,营销部,0%,24 工时,100%
房地产开发企业资质证书,行政部,0%,8 工时,100%
土地使用权出让合同,发展部,0%,8 工时,100%
房地产权证,发展部,0%,8 工时,100%
建设工程规划许可证,研发部,0%,8 工时,100%
建设工程施工许可证,工程部,0%,8 工时,100%
有资质的测绘机构出具工程进度鉴证报告,工程部,0%,24 工时,100%
建筑面积测绘明细表（暂测面积测绘成果报告）,营销部,0%,8 工时,100%
与本市房地产项目资金监管的机构签定的预售款监管协议,计财部,0%,8 工时,100%
商品房预售方案（包括销售人员岗位证书和承诺书，销售价格及浮动幅度）,营销部,0%,80 工时,100%
水、电、煤等配套已落实的有关证明,工程部,0%,8 工时,100%
房屋使用公约,物业部,0%,8 工时,100%
前期物业中标证明与所聘物业管理公司签订的前期物业管理服务合同,物业部,0%,8 工时,100%
物业管理及业委会用房配置资料,物业部,0%,8 工时,100%
物业公司的资质证书,物业部,0%,8 工时,100%
商品房总平面图,研发部,0%,24 工时,100%
申领预售许可证,营销部,0%,120 工时,100%
申请（第一批房源）预售许可证预售许可证,营销部,0%,688 工时,100%
现场鉴证报告（第一批房源）,营销部,0%,24 工时,100%
上海市商品房预售项目情况表,营销部,0%,24 工时,100%
房地产开发企业资质证书,行政部,0%,8 工时,100%
土地使用权出让合同,发展部,0%,8 工时,100%
房地产权证,发展部,0%,8 工时,100%
建设工程规划许可证,工程部,0%,8 工时,100%
建设工程施工许可证,营销部,0%,8 工时,100%
有资质的测绘机构出具工程进度鉴证报告,营销部,0%,8 工时,100%
建筑面积测绘明细表（暂测面积测绘成果报告）,营销部,0%,8 工时,100%
与本市房地产项目资金监管的机构签定的预售款监管协议,计财部,0%,16 工时,100%
商品房预售方案（包括销售人员岗位证书和承诺书，销售价格及浮动幅度）,营销部,0%,80 工时,100%
水、电、煤等配套已落实的有关证明,工程部,0%,8 工时,100%
房屋使用公约,物业部,0%,8 工时,100%
前期物业中标证明与所聘物业管理公司签订的前期物业管理服务合同,物业部,0%,8 工时,100%
物业管理及业委会用房配置资料,物业部,0%,8 工时,100%
物业公司的资质证书,物业部,0%,8 工时,100%
商品房总平面图,研发部,0%,24 工时,100%
申领预售许可证,营销部,0%,120 工时,100%
11、取得预售许可证,营销部,0%,24 工时,100%
注销银行抵押权,计财部,0%,24 工时,100%
房源上网,营销部,0%,24 工时,100%
营销开盘阶段成果,项目团队,0%,344 工时,100%
28、《营销策略方案》,营销部,0%,240 工时,100%
29、《售房合同配置标准》,营销部,0%,120 工时,100%
30、《合同附图》,营销部,0%,240 工时,100%
31、《价格表及付款方式》,营销部,0%,56 工时,100%
项目负责人审核并提交PMO会议,项目负责人,0%,8 工时,100%
PMO会议审核及论证,PMO,0%,8 工时,100%
提交集团审批,PMO召集人,0%,8 工时,100%
12、第一次开盘,营销部,0%,8 工时,100%
第二次开盘,营销部,0%,8 工时,100%
第三次开盘,营销部,0%,8 工时,100%
第四次开盘,营销部,0%,8 工时,100%
交房阶段,工程部,0%,"1,680 工时",100%
完成物业移交,工程部,0%,160 工时,100%
交房准备,营销部,0%,"1,448 工时",100%
测量产权面积、土地面积,营销部,0%,440 工时,100%
成立交房筹备小组、召开交房准备会,营销部,0%,8 工时,100%
落实交房前各部门重要控制节点，确定集中交房期,营销部,0%,8 工时,100%
清理出客户敏感问题，提出处理方案,营销部,0%,640 工时,100%
交房活动筹备,营销部,0%,400 工时,100%
组织各部分处理客户报事、监控处理结果,营销部,0%,640 工时,100%
工地开放日筹备,营销部,0%,200 工时,100%
工地开放日,项目团队,0%,16 工时,100%
问题整改,工程部,0%,200 工时,100%
《住宅质量保证书》《住宅使用说明书》编制、设计制作,营销部,0%,200 工时,100%
交房现场布置,营销部,0%,16 工时,100%
交房培训、人员安排,营销部,0%,40 工时,100%
交房阶段成果,项目团队,0%,360 工时,100%
32、《交房方案》,营销部,0%,240 工时,100%
33、《商业移交方案》,商运公司,0%,240 工时,100%
34、《资产管理方案》,计财部,0%,240 工时,100%
项目负责人审核并提交PMO会议,项目负责人,0%,8 工时,100%
PMO会议审核及论证,PMO,0%,8 工时,100%
提交集团审批,PMO召集人,0%,24 工时,100%
13、交房,营销部,0%,0 工时,100%
14、交房完成95%,营销部,0%,240 工时,100%
交房后续阶段,项目团队,0%,288 工时,100%
项目后续成果,项目团队,0%,288 工时,100%
35、《项目后评估》,PMO,0%,240 工时,100%
项目后评估报告会,PMO,0%,16 工时,100%
提交集团审批,PMO召集人,0%,32 工时,100%
